ANNO;CODI_CONTRATTO;CODI_MACROCATEGORIA;CODI_FONDO;DESC_FONDO;CODI_NATURA;DESC_NATURA;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA
2013;ERIC;ND;26;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;ERIC;ND;26;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;UNIV;ND;30;Destinazione delle Risorse;16;"Destinazioni temporaneamente allocate all'esterno del Fondo";U;UTILIZZO
2013;ERIC;ND;26;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;ERIC;ND;26;Destinazione delle Risorse;20;Destinazioni contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;ERIC;ND;23;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;ERIC;ND;26;Destinazione delle Risorse;21;(eventuali) Destinazioni ancora da regolare;U;UTILIZZO
2013;REFR;ND;21;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;REFR;ND;21;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;REFR;ND;21;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;REFR;ND;6;Destinazione delle Risorse;21;(eventuali) Destinazioni ancora da regolare;U;UTILIZZO
2013;REFR;ND;1;Destinazione delle Risorse;20;Destinazioni contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;UNIV;ND;18;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;UNIV;ND;30;Destinazione delle Risorse;10;"Risorse temporaneamente allocate all'esterno del Fondo";F;FINANZIA
2013;UNIV;ND;18;Destinazione delle Risorse;21;(eventuali) Destinazioni ancora da regolare;U;UTILIZZO
2013;UNIV;ND;18;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;UNIV;ND;18;Destinazione delle Risorse;20;Destinazioni contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;RALN;ND;25;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;RALN;ND;25;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;RALN;ND;25;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;UNIV;ND;9;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;UNIV;ND;9;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;UNIV;ND;9;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;RALN;ND;25;Destinazione delle Risorse;21;(eventuali) Destinazioni ancora da regolare;U;UTILIZZO
2013;RALN;ND;25;Destinazione delle Risorse;20;Destinazioni contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;UNIV;ND;9;Destinazione delle Risorse;20;Destinazioni contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;UNIV;ND;9;Destinazione delle Risorse;21;(eventuali) Destinazioni ancora da regolare;U;UTILIZZO
2013;RESI;ND;43;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;REVA;ND;46;Destinazione delle Risorse;21;(eventuali) Destinazioni ancora da regolare;U;UTILIZZO
2013;REVA;ND;46;Destinazione delle Risorse;20;Destinazioni contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;RESI;ND;43;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;RESI;ND;43;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;RESA;ND;5;Destinazione delle Risorse;21;(eventuali) Destinazioni ancora da regolare;U;UTILIZZO
2013;REVA;ND;46;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;EPNE;PR;28;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;EPNE;PR;28;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;EPNE;ES;10;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;EPNE;ES;10;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;EPNE;ES;10;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;EPNE;ES;10;Destinazione delle Risorse;20;Destinazioni contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;EPNE;PR;28;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;PCMD;1F;44;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;AFAM;AT;3;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;AFAM;AT;3;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;ENAC;R2;35;Destinazione delle Risorse;21;(eventuali) Destinazioni ancora da regolare;U;UTILIZZO
2013;RESI;ND;43;Destinazione delle Risorse;21;(eventuali) Destinazioni ancora da regolare;U;UTILIZZO
2013;ERIC;ND;30;Destinazione delle Risorse;16;"Destinazioni temporaneamente allocate all'esterno del Fondo";U;UTILIZZO
2013;REFR;ND;1;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;ERIC;ND;30;Destinazione delle Risorse;10;"Risorse temporaneamente allocate all'esterno del Fondo";F;FINANZIA
2013;ERIC;ND;23;Destinazione delle Risorse;20;Destinazioni contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;REFR;ND;1;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
