ANNO;CODI_CONTRATTO;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2013;RALN;F;FINANZIA;556;UNICO IMPORTO CONSOLIDATO ANNO 2003 (ART.31 C. 2 CCNL 02-05);+
2013;REFR;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
2013;UNIV;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
2013;ERIC;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
2013;RALN;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
2013;EPNE;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
2013;UCAM;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
2013;PCMD;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
2013;MNST;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
2013;VVFF;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
2013;AGFI;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
2013;ERIC;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2013;UNIV;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2013;PCMD;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2013;EPNE;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2013;MNST;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2013;AFAM;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2013;RALN;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2013;SSNA;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2013;AGFI;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2013;CNEL;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2013;RESI;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2013;ENAC;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2013;CDIP;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2013;REFR;U;UTILIZZO;11A;INDENNITÀ DI RESPONSABILITÀ / PROFESSIONALITÀ - CONTR;+
2013;RALN;U;UTILIZZO;11A;INDENNITÀ DI RESPONSABILITÀ / PROFESSIONALITÀ - CONTR;+
2013;UNIV;U;UTILIZZO;11A;INDENNITÀ DI RESPONSABILITÀ / PROFESSIONALITÀ - CONTR;+
2013;ENAC;U;UTILIZZO;254;INDENNITÀ TURNO, RISCHIO, DISAGIO ECC. - CONTR;+
2013;EPNE;U;UTILIZZO;254;INDENNITÀ TURNO, RISCHIO, DISAGIO ECC. - CONTR;+
2013;MNST;U;UTILIZZO;254;INDENNITÀ TURNO, RISCHIO, DISAGIO ECC. - CONTR;+
2013;UNIV;U;UTILIZZO;254;INDENNITÀ TURNO, RISCHIO, DISAGIO ECC. - CONTR;+
2013;RESI;U;UTILIZZO;254;INDENNITÀ TURNO, RISCHIO, DISAGIO ECC. - CONTR;+
2013;SSNA;U;UTILIZZO;254;INDENNITÀ TURNO, RISCHIO, DISAGIO ECC. - CONTR;+
2013;AGFI;U;UTILIZZO;254;INDENNITÀ TURNO, RISCHIO, DISAGIO ECC. - CONTR;+
2013;RALN;U;UTILIZZO;254;INDENNITÀ TURNO, RISCHIO, DISAGIO ECC. - CONTR;+
2013;RALN;F;FINANZIA;61G;INCREMENTI CCNL 02-05 (ART. 32. CC. 1-2 C. 7);+
2013;RALN;F;FINANZIA;62G;INCREMENTI CCNL 04-05 (ART. 4. CC. 1,4,5 PARTE FISSA);+
2013;RALN;F;FINANZIA;63G;INCREMENTI CCNL 06-09 (ART. 8. CC. 2,5,6,7 PARTE FISSA);+
2013;RALN;F;FINANZIA;919;RIA E ASS. AD PERSONAM PERS. CESSATO (ART.4 C. 2 CCNL 00-01);+
2013;RALN;F;FINANZIA;85H;DEC FONDO/PARTE FISSA RID PROP PERS (ART.9 C2BIS L.122/10);-
2013;ENAC;F;FINANZIA;85H;DEC FONDO/PARTE FISSA RID PROP PERS (ART.9 C2BIS L.122/10);-
2013;PCMD;F;FINANZIA;85H;DEC FONDO/PARTE FISSA RID PROP PERS (ART.9 C2BIS L.122/10);-
2013;RESA;F;FINANZIA;85H;DEC FONDO/PARTE FISSA RID PROP PERS (ART.9 C2BIS L.122/10);-
2013;EPNE;F;FINANZIA;85H;DEC FONDO/PARTE FISSA RID PROP PERS (ART.9 C2BIS L.122/10);-
