ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;PERSONALE_TEMPO_PIENO_UOMINI;PERSONALE_TEMPO_PIENO_DONNE;PART_TIME_INF50%_UOMINI;PART_TIME_INF50%_DONNE;PART_TIME_SUP50%_UOMINI;PART_TIME_SUP50%_DONNE
A190;AGFI;1A;024F02;89;56;0;0;1;1
A190;AGFI;2A;032F02;227;145;1;0;3;4
A190;AGFI;2A;035F04;111;140;0;0;1;8
A190;AGFI;3A;040F01;16;20;1;0;0;1
A190;AGFI;3A;042F03;99;139;0;0;0;3
A190;AGFI;3A;044F05;20;23;0;0;0;1
A190;AGFI;D1;0D0077;2;0;0;0;0;0
A190;AGFI;D2;0D0079;16;8;0;0;0;0
A190;AGFI;DR;0D0DIP;1;2;0;0;0;0
A191;EPNE;AA;027000;0;1;0;0;0;0
A191;EPNE;AB;032000;7;6;0;0;0;0
A191;EPNE;AC;040000;7;16;0;2;0;0
A191;EPNE;AC;043000;55;53;1;4;0;0
A191;EPNE;AC;046000;13;16;0;1;0;0
A191;EPNE;D1;0D0078;1;0;0;0;0;0
A191;EPNE;D2;0D0080;1;0;0;0;0;0
AA10;MNST;1A;023F01;1;0;0;0;0;0
AA10;MNST;2A;032F02;0;1;0;0;0;0
AA10;MNST;3A;040F01;3;3;0;0;0;0
AA10;MNST;3A;043F04;5;1;1;0;0;0
AA10;MNST;D2;0D0079;1;0;0;0;0;0
AA10047;DGIT;C3;0C3FF1;0;2;0;0;0;0
AA10047;DGIT;C3;0C3FF3;1;1;0;0;0;0
AA10047;DGIT;C3;0C3FF6;9;3;0;1;0;0
AA10047;DGIT;C3;0C3PF7;3;2;0;0;0;0
AA10047;DGIT;DI;0D0079;3;1;0;0;0;0
AA10255;RESA;CA;023000;1;1;0;0;0;0
AA10255;RESA;CB;030000;39;0;0;0;0;0
AA10255;RESA;CB;034000;5;0;0;0;0;0
AA10255;RESA;CB;037000;24;2;0;0;0;0
AA10255;RESA;CC;042000;27;10;1;0;0;1
AA10255;RESA;CC;045000;13;4;1;0;0;0
AA10255;RESA;CD;049000;22;10;0;0;0;1
AA10255;RESA;CD;051000;18;18;0;0;0;1
AA10255;RESA;DI;0D0I97;1;0;0;0;0;0
AA10591;ENAC;AB;034000;1;1;0;0;0;0
AA10591;ENAC;AC;043000;5;0;0;0;0;0
AA10591;ENAC;AC;046000;1;3;0;0;0;0
AA11035;ENAC;1P;0P4000;14;2;0;0;0;0
AA11035;ENAC;2P;0P5000;1;0;0;0;0;0
AA11035;ENAC;AB;030000;1;0;0;0;0;0
AA11035;ENAC;AB;036000;9;11;0;0;0;0
AA11035;ENAC;AC;045000;14;5;0;0;0;0
AA11035;ENAC;DI;0D0164;9;2;0;0;0;0
