"Istituzione","Contratto","Categoria","Qualifica","Causale Cessazione","Uomini","Donne"
"P10790","SCLA","DO","016132","C01","1","0"
"M8653","SCLA","DO","014154","C01","0","1"
"M8653","SCLA","SA","012117","C01","0","1"
"M8653","SCLA","SA","011121","C01","0","2"
"M10398","SCLA","SD","0D0158","C01","289","182"
"M10398","SCLA","DO","016132","C01","637","964"
"M10398","SCLA","DO","016135","C01","345","1048"
"M10398","SCLA","DO","014154","C01","96","1575"
"M10398","SCLA","DO","014155","C01","1","822"
"M10398","SCLA","DO","014143","C01","83","54"
"M10398","SCLA","DO","014646","C01","7","3"
"M10398","SCLA","IS","016630","C01","3","25"
"M10398","SCLA","IS","016638","C01","28","136"
"M10398","SCLA","IS","014634","C01","4","117"
"M10398","SCLA","IS","014714","C01","0","24"
"M10398","SCLA","IS","014656","C01","5","19"
"M10398","SCLA","SA","013159","C01","60","54"
"M10398","SCLA","SA","012117","C01","114","269"
"M10398","SCLA","SA","012119","C01","86","25"
"M10398","SCLA","SA","012125","C01","1","6"
"M10398","SCLA","SA","098701","C01","2","0"
"M10398","SCLA","SA","011121","C01","701","1053"
"M10398","SCLA","SR","016139","C01","43","60"
"M10398","SCLA","SR","014138","C01","1","50"
"C3042","SCLA","DO","014155","C01","0","3"
"C963","SCLA","DO","016132","C01","1","0"
"C963","SCLA","DO","014154","C01","0","1"
"C963","SCLA","DO","014143","C01","1","0"
"P9056","SCLA","DO","016132","C01","1","0"
"RS9208","SCLA","DO","016132","C01","0","2"
"RS9208","SCLA","DO","016135","C01","1","1"
"RS9208","SCLA","IS","016630","C01","0","1"
"P9112","AFAM","PR","018P01","C01","0","1"
"M10398","AFAM","PR","018P01","C01","74","42"
"M10398","AFAM","PR","016P02","C01","5","8"
"M10398","AFAM","PA","012117","C01","0","8"
"M10398","AFAM","PA","011121","C01","1","7"
"IC10832","AFAM","PR","018P01","C01","1","0"
"AG10325","MNST","MS","0D0497","C01","1","0"
"OC9816","MNST","3A","044F06","C01","1","1"
"OC9816","MNST","3A","044F05","C01","0","2"
"OC9816","MNST","2A","034F03","C01","1","2"
"OC9816","MNST","2A","030F01","C01","1","0"
"OC9816","MNST","1A","024F03","C01","2","1"
"OC9829","MNST","3A","044F06","C01","1","0"
"OC9829","MNST","3A","044F05","C01","1","1"
"OC9829","MNST","2A","034F03","C01","2","2"
"OC9829","MNST","2A","032F02","C01","2","0"
"OC9829","MNST","1A","024F02","C01","1","0"
"OC9815","MNST","3A","043F04","C01","3","1"
"OC9815","MNST","3A","042F03","C01","1","0"
"OC9815","MNST","3A","041F02","C01","1","0"
"OC9815","MNST","2A","035F05","C01","2","0"
"OC9815","MNST","2A","034F03","C01","2","5"
"OC9815","MNST","2A","032F02","C01","4","1"
"OC9815","MNST","1A","024F03","C01","1","0"
"AG11801","MNST","3A","043F04","C01","1","1"
"AG11801","MNST","2A","034F03","C01","0","1"
"M8653","MNST","3A","044F05","C01","0","1"
"M8653","MNST","3A","043F04","C01","5","8"
"M8653","MNST","3A","042F03","C01","1","2"
"M8653","MNST","3A","041F02","C01","1","1"
"M8653","MNST","3A","040F01","C01","4","4"
"M8653","MNST","2A","035F04","C01","4","9"
"M8653","MNST","2A","034F03","C01","6","10"
"M8653","MNST","2A","032F02","C01","4","1"
"M8653","MNST","2A","030F01","C01","1","1"
"M8653","MNST","PC","000061","C01","20","10"
"M10395","MNST","D1","0D0077","C01","2","0"
"M10395","MNST","D2","0D0079","C01","2","0"
"M10395","MNST","3A","044F06","C01","5","1"
"M10395","MNST","3A","044F05","C01","3","0"
"M10395","MNST","3A","043F04","C01","11","3"
"M10395","MNST","3A","042F03","C01","1","3"
"M10395","MNST","3A","041F02","C01","4","1"
"M10395","MNST","3A","040F01","C01","1","0"
"M10395","MNST","2A","035F05","C01","2","0"
"M10395","MNST","2A","035F04","C01","0","1"
"M10395","MNST","2A","034F03","C01","3","7"
"M10395","MNST","2A","032F02","C01","3","2"
"M10395","MNST","1A","024F03","C01","1","0"
"M10395","MNST","1A","024F02","C01","1","0"
"M8659","MNST","D2","0D0079","C01","0","1"
"M8659","MNST","3A","044F06","C01","3","0"
"M8659","MNST","3A","043F04","C01","4","1"
"M8659","MNST","3A","042F03","C01","17","4"
"M8659","MNST","3A","041F02","C01","4","3"
"M8659","MNST","3A","040F01","C01","2","3"
"M8659","MNST","2A","035F05","C01","6","1"
"M8659","MNST","2A","035F04","C01","19","27"
"M8659","MNST","2A","034F03","C01","70","30"
"M8659","MNST","2A","032F02","C01","71","24"
"M8659","MNST","2A","030F01","C01","3","0"
"M8659","MNST","1A","024F03","C01","13","6"
"M8652","MNST","D2","0D0079","C01","1","0"
"M8652","MNST","3A","044F06","C01","4","2"
"M8652","MNST","3A","044F05","C01","7","0"
"M8652","MNST","3A","043F04","C01","8","14"
"M8652","MNST","3A","042F03","C01","26","10"
"M8652","MNST","3A","041F02","C01","57","38"
"M8652","MNST","3A","040F01","C01","2","0"
"M8652","MNST","2A","035F05","C01","21","14"
"M8652","MNST","2A","035F04","C01","12","14"
"M8652","MNST","2A","034F03","C01","27","59"
"M8652","MNST","2A","032F02","C01","40","52"
"M8652","MNST","2A","030F01","C01","2","0"
"M8652","MNST","1A","024F03","C01","7","0"
"M8652","MNST","1A","024F02","C01","25","17"
"M8652","MNST","1A","023F01","C01","1","1"
"M8664","MNST","D2","0D0079","C01","3","1"
"M8664","MNST","MS","0D0497","C01","3","2"
"M8664","MNST","3A","042F03","C01","2","4"
"M8664","MNST","3A","040F01","C01","3","0"
"M8664","MNST","2A","034F03","C01","5","4"
"M8664","MNST","2A","032F02","C01","1","0"
"M8664","MNST","2A","030F01","C01","2","1"
"M8666","MNST","D1","0D0077","C01","1","0"
"M8666","MNST","D2","0D0079","C01","2","1"
"M8666","MNST","3A","044F05","C01","1","1"
"M8666","MNST","3A","041F02","C01","2","0"
"M8666","MNST","2A","034F03","C01","1","0"
"M8666","MNST","2A","032F02","C01","0","1"
"M8666","MNST","2A","030F01","C01","0","1"
"M10756","MNST","D1","0D0077","C01","3","1"
"M10756","MNST","D2","0D0079","C01","4","0"
"M10756","MNST","3A","044F06","C01","8","2"
"M10756","MNST","3A","044F05","C01","6","0"
"M10756","MNST","3A","043F04","C01","19","4"
"M10756","MNST","3A","042F03","C01","5","1"
"M10756","MNST","2A","035F05","C01","2","4"
"M10756","MNST","2A","035F04","C01","5","3"
"M10756","MNST","2A","034F03","C01","6","6"
"M10756","MNST","2A","032F02","C01","5","5"
"M10756","MNST","2A","030F01","C01","0","1"
"M10756","MNST","1A","024F03","C01","3","3"
"M8660","MNST","D1","0D0077","C01","1","1"
"M8660","MNST","D2","0D0079","C01","7","2"
"M8660","MNST","3A","044F06","C01","3","1"
"M8660","MNST","3A","044F05","C01","1","1"
"M8660","MNST","3A","043F04","C01","1","0"
"M8660","MNST","2A","035F05","C01","1","0"
"M8660","MNST","2A","035F04","C01","1","1"
"M8660","MNST","2A","034F03","C01","3","1"
"M8660","MNST","2A","032F02","C01","4","4"
"M8668","MNST","D1","0D0077","C01","3","1"
"M8668","MNST","D2","0D0079","C01","4","1"
"M8668","MNST","3A","044F06","C01","5","7"
"M8668","MNST","3A","044F05","C01","4","0"
"M8668","MNST","3A","043F04","C01","11","6"
"M8668","MNST","3A","042F03","C01","9","4"
"M8668","MNST","3A","041F02","C01","2","1"
"M8668","MNST","3A","040F01","C01","3","1"
"M8668","MNST","2A","035F05","C01","0","1"
"M8668","MNST","2A","035F04","C01","5","4"
"M8668","MNST","2A","034F03","C01","16","9"
"M8668","MNST","2A","032F02","C01","2","2"
"M8668","MNST","2A","030F01","C01","1","0"
"M8668","MNST","1A","024F03","C01","3","5"
"M8668","MNST","1A","024F02","C01","1","0"
"M8655","MNST","3A","044F06","C01","6","2"
"M8655","MNST","3A","044F05","C01","4","0"
"M8655","MNST","3A","043F04","C01","0","1"
"M8655","MNST","3A","042F03","C01","7","21"
"M8655","MNST","3A","041F02","C01","4","1"
"M8655","MNST","3A","040F01","C01","1","12"
"M8655","MNST","2A","035F05","C01","3","2"
"M8655","MNST","2A","035F04","C01","4","12"
"M8655","MNST","2A","034F03","C01","5","9"
"M8655","MNST","2A","032F02","C01","3","10"
"M8655","MNST","2A","030F01","C01","3","8"
"M8655","MNST","1A","024F03","C01","16","5"
"M10398","MNST","D1","0D0CDP","C01","1","0"
"M10398","MNST","D1","0D0077","C01","1","0"
"M10398","MNST","D2","0D0079","C01","6","4"
"M10398","MNST","3A","044F06","C01","11","3"
"M10398","MNST","3A","044F05","C01","2","2"
"M10398","MNST","3A","043F04","C01","11","5"
"M10398","MNST","3A","042F03","C01","6","5"
"M10398","MNST","3A","040F01","C01","1","6"
