"Istituzione","Contratto","Macrocategoria","Categoria","Personale Tempo Determinato Uomini","Personale Tempo Determinato Donne","Formazione Lavoro Uomini","Formazione Lavoro Donne","Interinale Uomini","Interinale Donne","Lavoro Socialmente Utile Uomini","Lavoro Socialmente Utile Donne"
"IP11028","SCTN","CO","SN","0,84","0,92","0","0","0","0","0","0"
"CS10225","RALN","ND","CA","2,02","0,41","0","0","0","0","0","0"
"CS10684","RALN","ND","CA","0","0","0","0","0","0","2","0"
"CS10529","RALN","ND","CA","0","0,49","0","0","0","0","0","0"
"C222","RALN","ND","CA","0","0","0","0","0","0","16","5"
"C223","RALN","ND","CA","0,67","0","0","0","0","0","0","0"
"C227","RALN","ND","CA","0","0","0","0","0","0","2","0"
"C226","RALN","ND","CA","2,67","1,58","0","0","0","0","0","0"
"C229","RALN","ND","CA","0,5","0","0","0","0","0","0","0"
"C236","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C241","RALN","ND","CA","0","0","0","0","0","0","1","2"
"C243","RALN","ND","CA","0,5","0","0","0","0","0","0","0"
"C8248","RALN","ND","CA","5,5","3","0","0","0","0","1","0"
"C247","RALN","ND","CA","0","0","0","0","0","0","6","6"
"C250","RALN","ND","CA","0","0,56","0","0","0","0","0","0"
"C262","RALN","ND","CA","6,56","1,4","0","0","0","0","0","0"
"C277","RALN","ND","CA","23,81","3,93","0","0","0","0","0","0"
"C279","RALN","ND","CA","0","0","0","0","0","0","0,44","0,23"
"C287","RALN","ND","CA","0","0","0","0","0","0","3","3"
"C303","RALN","ND","CA","0","0","0","0","0","0","2,73","0"
"C308","RALN","ND","CA","0","0","0","0","0","0","2","2"
"C314","RALN","ND","CA","0","0","0","0","0","0","0","2"
"C324","RALN","ND","CA","0,52","0,09","0","0","0","0","0","0"
"C325","RALN","ND","CA","0","0,01","0","0","0","0","0","0"
"C344","RALN","ND","CA","5,11","52,44","0","0","0","0","4,61","7,5"
"C345","RALN","ND","CA","0,67","5,33","0","0","0","0","0","0"
"C349","RALN","ND","CA","0,66","0","0","0","0","0","5,2","1,1"
"C359","RALN","ND","CA","0,35","2,47","0","0","0","0","0","0"
"C361","RALN","ND","CA","0,86","6,6","0","0","0","0","0,76","1,65"
"C368","RALN","ND","CA","0,83","6,64","0","0","0","0","0","0"
"C370","RALN","ND","CA","1,17","3,5","0","0","0","0","0","0"
"C378","RALN","ND","CA","0","0","0","0","0","0","1","1"
"C384","RALN","ND","CA","0","0","0","0","0","0","0,5","0,5"
"C388","RALN","ND","CA","0,12","0,48","0","0","0","0","0","0"
"C392","RALN","ND","CA","0,68","0,68","0","0","0","0","0","0"
"C397","RALN","ND","CA","0","0","0","0","0","0","0,61","0"
"C405","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C416","RALN","ND","CA","6","0","0","0","0","0","6","0"
