"Istituzione","Contratto","Categoria Partenza","Qualifica Partenza","Categoria Arrivo","Qualifica Arrivo","Tipo Passaggio","Numero Passaggi"
"M8659","CCSS","DI","0D0217","TS","0D0525","V","1"
"M8649","PCMD","D1","0D0077","D2","0D0079","V","1"
"RS9204","RESI","DG","0D0097","DI","0D0918","V","3"
"F8521","SCLA","SD","0D0158","DO","016132","V","1"
"Q9130","UNIV","PR","0D0169","RI","0D0177","V","3"
"Q9163","UNIV","PR","0D0169","RI","0D0177","V","1"
"Q9186","UNIV","PR","0D0167","RI","0D0177","V","1"
"Q9138","UNIV","PR","0D0167","RI","0D0177","V","1"
"Q9131","UNIV","RI","0D0177","PR","0D0173","V","2"
"Q9133","UNIV","RI","0D0177","PR","0D0173","V","1"
"Q9140","UNIV","RI","0D0177","PR","0D0173","V","1"
"Q9146","UNIV","RI","0D0177","PR","0D0173","V","1"
"Q9150","UNIV","RI","0D0177","PR","0D0173","V","1"
"Q9129","UNIV","RI","0D0177","PR","0D0173","V","1"
"Q9160","UNIV","RI","0D0177","PR","0D0175","V","1"
"Q10425","UNIV","RI","0D0177","PR","0D0169","V","1"
"Q9173","UNIV","RI","0D0177","PR","0D0169","V","96"
"Q9174","UNIV","RI","0D0177","PR","0D0169","V","88"
"Q9183","UNIV","RI","0D0177","PR","0D0169","V","2"
"Q9128","UNIV","RI","0D0177","PR","0D0169","V","1"
"Q9181","UNIV","RI","0D0177","PR","0D0169","V","38"
"Q9186","UNIV","RI","0D0177","PR","0D0169","V","49"
"Q9135","UNIV","RI","0D0177","PR","0D0169","V","4"
"Q9185","UNIV","RI","0D0177","PR","0D0169","V","5"
"Q9180","UNIV","RI","0D0177","PR","0D0169","V","16"
"Q9131","UNIV","RI","0D0177","PR","0D0169","V","303"
"Q9132","UNIV","RI","0D0177","PR","0D0169","V","16"
"Q9133","UNIV","RI","0D0177","PR","0D0169","V","49"
"Q9134","UNIV","RI","0D0177","PR","0D0169","V","11"
"Q9136","UNIV","RI","0D0177","PR","0D0169","V","18"
"Q9137","UNIV","RI","0D0177","PR","0D0169","V","79"
"Q9188","UNIV","RI","0D0177","PR","0D0169","V","3"
"Q9139","UNIV","RI","0D0177","PR","0D0169","V","48"
"Q9140","UNIV","RI","0D0177","PR","0D0169","V","42"
"Q9141","UNIV","RI","0D0177","PR","0D0169","V","47"
"Q9142","UNIV","RI","0D0177","PR","0D0169","V","84"
"Q9187","UNIV","RI","0D0177","PR","0D0169","V","31"
"Q9143","UNIV","RI","0D0177","PR","0D0169","V","1"
"Q9145","UNIV","RI","0D0177","PR","0D0169","V","17"
"Q9146","UNIV","RI","0D0177","PR","0D0169","V","53"
"Q9147","UNIV","RI","0D0177","PR","0D0169","V","1"
"Q9148","UNIV","RI","0D0177","PR","0D0169","V","31"
"Q9149","UNIV","RI","0D0177","PR","0D0169","V","90"
"Q9171","UNIV","RI","0D0177","PR","0D0169","V","24"
"Q9150","UNIV","RI","0D0177","PR","0D0169","V","93"
"Q9152","UNIV","RI","0D0177","PR","0D0169","V","93"
"Q9153","UNIV","RI","0D0177","PR","0D0169","V","21"
"Q9154","UNIV","RI","0D0177","PR","0D0169","V","2"
"Q9155","UNIV","RI","0D0177","PR","0D0169","V","85"
"Q9158","UNIV","RI","0D0177","PR","0D0169","V","1"
"Q9159","UNIV","RI","0D0177","PR","0D0169","V","19"
"Q9160","UNIV","RI","0D0177","PR","0D0169","V","24"
"Q9161","UNIV","RI","0D0177","PR","0D0169","V","12"
"Q9163","UNIV","RI","0D0177","PR","0D0169","V","76"
"Q9164","UNIV","RI","0D0177","PR","0D0169","V","70"
"Q9165","UNIV","RI","0D0177","PR","0D0169","V","37"
"Q9166","UNIV","RI","0D0177","PR","0D0169","V","8"
"Q10602","UNIV","RI","0D0177","PR","0D0169","V","5"
"Q9167","UNIV","RI","0D0177","PR","0D0169","V","9"
"Q9168","UNIV","RI","0D0177","PR","0D0169","V","77"
"Q9169","UNIV","RI","0D0177","PR","0D0169","V","7"
"Q9144","UNIV","RI","0D0177","PR","0D0169","V","14"
"Q9177","UNIV","RI","0D0177","PR","0D0169","V","5"
"Q9172","UNIV","RI","0D0177","PR","0D0169","V","7"
"Q9176","UNIV","RI","0D0177","PR","0D0169","V","5"
"Q9129","UNIV","RI","0D0177","PR","0D0169","V","10"
"Q9131","UNIV","RI","0D0177","PR","0D0168","V","1"
"Q9164","UNIV","RI","0D0177","PR","0D0168","V","2"
"Q9179","UNIV","RI","0D0177","PR","0D0167","V","64"
"Q9135","UNIV","RI","0D0177","PR","0D0167","V","1"
"Q9180","UNIV","RI","0D0177","PR","0D0167","V","2"
"Q9188","UNIV","RI","0D0177","PR","0D0167","V","3"
"Q9189","UNIV","RI","0D0177","PR","0D0167","V","7"
"Q9158","UNIV","RI","0D0177","PR","0D0167","V","1"
"Q9173","UNIV","RI","0D0176","PR","0D0169","V","1"
"Q9131","UNIV","RI","0D0176","PR","0D0169","V","1"
"Q9134","UNIV","RI","0D0176","PR","0D0169","V","1"
"Q9140","UNIV","RI","0D0176","PR","0D0169","V","1"
"Q9155","UNIV","RI","0D0176","PR","0D0169","V","1"
"Q9168","UNIV","RI","0D0176","PR","0D0169","V","1"
"Q9173","UNIV","RI","0D0176","PR","0D0168","V","1"
"Q9181","UNIV","RI","0D0176","PR","0D0168","V","2"
"Q9135","UNIV","RI","0D0176","PR","0D0168","V","2"
"Q9131","UNIV","RI","0D0176","PR","0D0168","V","7"
"Q9133","UNIV","RI","0D0176","PR","0D0168","V","4"
"Q9137","UNIV","RI","0D0176","PR","0D0168","V","1"
"Q9140","UNIV","RI","0D0176","PR","0D0168","V","2"
"Q9142","UNIV","RI","0D0176","PR","0D0168","V","4"
"Q9187","UNIV","RI","0D0176","PR","0D0168","V","1"
"Q9146","UNIV","RI","0D0176","PR","0D0168","V","2"
"Q9149","UNIV","RI","0D0176","PR","0D0168","V","3"
"Q9150","UNIV","RI","0D0176","PR","0D0168","V","5"
"Q9154","UNIV","RI","0D0176","PR","0D0168","V","1"
"Q9155","UNIV","RI","0D0176","PR","0D0168","V","4"
"Q9165","UNIV","RI","0D0176","PR","0D0168","V","1"
"Q9166","UNIV","RI","0D0176","PR","0D0168","V","1"
"Q9167","UNIV","RI","0D0176","PR","0D0168","V","1"
"Q9168","UNIV","RI","0D0176","PR","0D0168","V","4"
"Q9177","UNIV","RI","0D0176","PR","0D0168","V","1"
"Q9173","UNIV","RI","0D0178","PR","0D0169","V","1"
"Q9174","UNIV","RI","0D0178","PR","0D0169","V","11"
"Q9128","UNIV","RI","0D0178","PR","0D0169","V","3"
"Q9181","UNIV","RI","0D0178","PR","0D0169","V","2"
"Q9135","UNIV","RI","0D0178","PR","0D0169","V","1"
"Q9131","UNIV","RI","0D0178","PR","0D0169","V","27"
"Q9133","UNIV","RI","0D0178","PR","0D0169","V","8"
"Q9134","UNIV","RI","0D0178","PR","0D0169","V","2"
"Q9137","UNIV","RI","0D0178","PR","0D0169","V","1"
"Q9139","UNIV","RI","0D0178","PR","0D0169","V","1"
"Q9140","UNIV","RI","0D0178","PR","0D0169","V","4"
"Q9141","UNIV","RI","0D0178","PR","0D0169","V","1"
"Q9142","UNIV","RI","0D0178","PR","0D0169","V","5"
"Q9143","UNIV","RI","0D0178","PR","0D0169","V","1"
"Q9145","UNIV","RI","0D0178","PR","0D0169","V","1"
"Q9146","UNIV","RI","0D0178","PR","0D0169","V","1"
"Q9148","UNIV","RI","0D0178","PR","0D0169","V","2"
"Q9149","UNIV","RI","0D0178","PR","0D0169","V","5"
"Q9150","UNIV","RI","0D0178","PR","0D0169","V","8"
"Q9152","UNIV","RI","0D0178","PR","0D0169","V","2"
"Q9153","UNIV","RI","0D0178","PR","0D0169","V","4"
"Q9155","UNIV","RI","0D0178","PR","0D0169","V","3"
"Q9160","UNIV","RI","0D0178","PR","0D0169","V","1"
"Q9161","UNIV","RI","0D0178","PR","0D0169","V","3"
"Q9163","UNIV","RI","0D0178","PR","0D0169","V","5"
"Q9165","UNIV","RI","0D0178","PR","0D0169","V","2"
"Q9166","UNIV","RI","0D0178","PR","0D0169","V","1"
"Q9168","UNIV","RI","0D0178","PR","0D0169","V","5"
"Q9169","UNIV","RI","0D0178","PR","0D0169","V","1"
"Q9172","UNIV","RI","0D0178","PR","0D0169","V","5"
"Q9129","UNIV","RI","0D0178","PR","0D0169","V","1"
"Q9128","UNIV","RI","0D0178","PR","0D0168","V","1"
"Q9142","UNIV","RI","0D0178","PR","0D0168","V","1"
"Q9150","UNIV","RI","0D0178","PR","0D0168","V","1"
"LS12133","LS13","DI","0D00NF","LI","0000ND","V","1"
"C3742","RALN","FP","0D0103","CD","057000","V","1"
"AG9847","AGFI","D1","0D0077","DG","0D0097","V","1"
"AU10079","AUIN","LI","0000ND","DI","0D00NF","V","6"
"U9449","SSNA","MD","SD0E33","DG","0D0097","V","1"
"U9630","SSNA","MD","SD0E33","DG","0D0097","V","1"
"U9472","SSNA","MD","SD0E33","DG","0D0482","V","1"
"U9480","SSNA","MD","SD0E33","DG","0D0482","V","1"
"U9412","SSNA","MD","SD0E33","DG","0D0482","V","2"
"U9663","SSNA","MD","SD0E33","DG","0D0482","V","1"
"U9422","SSNA","MD","SD0E34","DG","0D0482","V","1"
"U10545","SSNA","MD","SD0E34","DG","0D0482","V","1"
"U11799","SSNA","MD","SD0035","MO","SD0A48","V","1"
"U10769","SSNA","MD","SD0035","DS","SD0A65","V","2"
"PU10539","SSNA","MD","SD0035","DG","0D0097","V","1"
"U11805","SSNA","MD","SD0035","PC","000061","V","1"
"U9672","SSNA","MD","SD0036","PC","000061","V","1"
"K8646","SSNA","MV","SD0E73","DG","0D0482","V","1"
"LS58","LS13","LI","0000ND","DI","0D00NF","V","1"
"LS11943","LS13","LI","0000ND","DI","0D00NF","V","1"
"LS11973","LS13","LI","0000ND","DI","0D00NF","V","4"
"LS11936","LS13","LI","0000ND","DI","0D00NF","V","1"
"LS12298","LS13","LI","0000ND","DI","0D00NF","V","1"
"LS12092","LS13","LI","0000ND","DI","0D00NF","V","1"
"D8383","EN60","LI","0000ND","DI","0D00NF","V","1"
"F8521","EPNE","D1","0D0078","D2","0D0080","V","1"
