ANNO,CODI_CONTRATTO,CODI_MACROCATEGORIA,CODI_FONDO,DESC_FONDO,CODI_NATURA,DESC_NATURA,CODI_TIPO_VOCE_SPESA,TIPO_VOCE_SPESA
2015,AFAM,AT,3,Fondo dell'istituzione scolastica,9,Risorse variabili,F,FINANZIA
2015,AFAM,AT,3,Fondo dell'istituzione scolastica,7,Risorse fisse aventi carattere di certezza e stabilità,F,FINANZIA
2015,AFAM,AT,3,Fondo dell'istituzione scolastica,42,Destinazioni erogate a valere su risorse variabili,U,UTILIZZO
2015,AFAM,AT,3,Fondo dell'istituzione scolastica,41,Destinazioni erogate a valere su risorse fisse,U,UTILIZZO
2015,AFAM,NF,44,Fondo retribuzione di posizione e risultato,41,Destinazioni erogate a valere su risorse fisse,U,UTILIZZO
2015,AFAM,NF,44,Fondo retribuzione di posizione e risultato,9,Risorse variabili,F,FINANZIA
2015,AFAM,NF,44,Fondo retribuzione di posizione e risultato,42,Destinazioni erogate a valere su risorse variabili,U,UTILIZZO
2015,AFAM,NF,44,Fondo retribuzione di posizione e risultato,7,Risorse fisse aventi carattere di certezza e stabilità,F,FINANZIA
2015,AGFI,ND,30,Poste temporaneamente allocate all'esterno del Fondo,10,Risorse temporaneamente allocate all'esterno del Fondo,F,FINANZIA
2015,AGFI,ND,30,Poste temporaneamente allocate all'esterno del Fondo,16,Destinazioni temporaneamente allocate all'esterno del Fondo,U,UTILIZZO
2015,AGFI,ND,38,Fondo politiche di sviluppo risorse umane e produttività,7,Risorse fisse aventi carattere di certezza e stabilità,F,FINANZIA
2015,AGFI,ND,38,Fondo politiche di sviluppo risorse umane e produttività,41,Destinazioni erogate a valere su risorse fisse,U,UTILIZZO
2015,AGFI,ND,38,Fondo politiche di sviluppo risorse umane e produttività,42,Destinazioni erogate a valere su risorse variabili,U,UTILIZZO
2015,AGFI,ND,38,Fondo politiche di sviluppo risorse umane e produttività,9,Risorse variabili,F,FINANZIA
2015,AGFI,1F,44,Fondo retribuzione di posizione e risultato,41,Destinazioni erogate a valere su risorse fisse,U,UTILIZZO
2015,AGFI,1F,44,Fondo retribuzione di posizione e risultato,7,Risorse fisse aventi carattere di certezza e stabilità,F,FINANZIA
2015,AGFI,1F,44,Fondo retribuzione di posizione e risultato,9,Risorse variabili,F,FINANZIA
2015,AGFI,1F,44,Fondo retribuzione di posizione e risultato,42,Destinazioni erogate a valere su risorse variabili,U,UTILIZZO
2015,AGFI,2F,44,Fondo retribuzione di posizione e risultato,42,Destinazioni erogate a valere su risorse variabili,U,UTILIZZO
2015,AGFI,2F,44,Fondo retribuzione di posizione e risultato,7,Risorse fisse aventi carattere di certezza e stabilità,F,FINANZIA
2015,AGFI,2F,44,Fondo retribuzione di posizione e risultato,9,Risorse variabili,F,FINANZIA
2015,AGFI,2F,44,Fondo retribuzione di posizione e risultato,41,Destinazioni erogate a valere su risorse fisse,U,UTILIZZO
2015,ASSI,ND,23,Risorse attività prestazioni committenti esterni,42,Destinazioni erogate a valere su risorse variabili,U,UTILIZZO
2015,ASSI,ND,23,Risorse attività prestazioni committenti esterni,9,Risorse variabili,F,FINANZIA
2015,ASSI,ND,26,Risorse per il trattamento accessorio,42,Destinazioni erogate a valere su risorse variabili,U,UTILIZZO
2015,ASSI,ND,26,Risorse per il trattamento accessorio,41,Destinazioni erogate a valere su risorse fisse,U,UTILIZZO
2015,ASSI,ND,26,Risorse per il trattamento accessorio,9,Risorse variabili,F,FINANZIA
2015,ASSI,ND,26,Risorse per il trattamento accessorio,7,Risorse fisse aventi carattere di certezza e stabilità,F,FINANZIA
2015,ASSI,ND,30,Poste temporaneamente allocate all'esterno del Fondo,16,Destinazioni temporaneamente allocate all'esterno del Fondo,U,UTILIZZO
2015,ASSI,ND,30,Poste temporaneamente allocate all'esterno del Fondo,10,Risorse temporaneamente allocate all'esterno del Fondo,F,FINANZIA
2015,ASSI,RT,23,Risorse attività prestazioni committenti esterni,42,Destinazioni erogate a valere su risorse variabili,U,UTILIZZO
2015,ASSI,RT,23,Risorse attività prestazioni committenti esterni,9,Risorse variabili,F,FINANZIA
2015,ASSI,RT,7,Risorse trattamento accessorio e valorizzazione profess.le,7,Risorse fisse aventi carattere di certezza e stabilità,F,FINANZIA
2015,ASSI,RT,7,Risorse trattamento accessorio e valorizzazione profess.le,41,Destinazioni erogate a valere su risorse fisse,U,UTILIZZO
2015,ASSI,RT,7,Risorse trattamento accessorio e valorizzazione profess.le,42,Destinazioni erogate a valere su risorse variabili,U,UTILIZZO
2015,ASSI,RT,7,Risorse trattamento accessorio e valorizzazione profess.le,9,Risorse variabili,F,FINANZIA
2015,ASSI,1F,44,Fondo retribuzione di posizione e risultato,42,Destinazioni erogate a valere su risorse variabili,U,UTILIZZO
2015,ASSI,1F,44,Fondo retribuzione di posizione e risultato,7,Risorse fisse aventi carattere di certezza e stabilità,F,FINANZIA
2015,ASSI,1F,44,Fondo retribuzione di posizione e risultato,9,Risorse variabili,F,FINANZIA
2015,ASSI,1F,44,Fondo retribuzione di posizione e risultato,41,Destinazioni erogate a valere su risorse fisse,U,UTILIZZO
2015,ASSI,2F,44,Fondo retribuzione di posizione e risultato,7,Risorse fisse aventi carattere di certezza e stabilità,F,FINANZIA
2015,ASSI,2F,44,Fondo retribuzione di posizione e risultato,9,Risorse variabili,F,FINANZIA
2015,ASSI,2F,44,Fondo retribuzione di posizione e risultato,41,Destinazioni erogate a valere su risorse fisse,U,UTILIZZO
2015,ASSI,2F,44,Fondo retribuzione di posizione e risultato,42,Destinazioni erogate a valere su risorse variabili,U,UTILIZZO
2015,CDIP,CD,44,Fondo retribuzione di posizione e risultato,7,Risorse fisse aventi carattere di certezza e stabilità,F,FINANZIA
2015,CDIP,CD,44,Fondo retribuzione di posizione e risultato,9,Risorse variabili,F,FINANZIA
2015,CDIP,CD,44,Fondo retribuzione di posizione e risultato,41,Destinazioni erogate a valere su risorse fisse,U,UTILIZZO
2015,CDIP,CD,44,Fondo retribuzione di posizione e risultato,42,Destinazioni erogate a valere su risorse variabili,U,UTILIZZO
2015,CNEL,ND,15,Fondo Unico di Amministrazione,7,Risorse fisse aventi carattere di certezza e stabilità,F,FINANZIA
2015,CNEL,ND,15,Fondo Unico di Amministrazione,42,Destinazioni erogate a valere su risorse variabili,U,UTILIZZO
2015,CNEL,ND,15,Fondo Unico di Amministrazione,41,Destinazioni erogate a valere su risorse fisse,U,UTILIZZO
2015,CNEL,ND,15,Fondo Unico di Amministrazione,9,Risorse variabili,F,FINANZIA
2015,CNEL,1F,44,Fondo retribuzione di posizione e risultato,9,Risorse variabili,F,FINANZIA
2015,CNEL,1F,44,Fondo retribuzione di posizione e risultato,7,Risorse fisse aventi carattere di certezza e stabilità,F,FINANZIA
2015,CNEL,1F,44,Fondo retribuzione di posizione e risultato,41,Destinazioni erogate a valere su risorse fisse,U,UTILIZZO
2015,CNEL,1F,44,Fondo retribuzione di posizione e risultato,42,Destinazioni erogate a valere su risorse variabili,U,UTILIZZO
2015,CNEL,2F,44,Fondo retribuzione di posizione e risultato,41,Destinazioni erogate a valere su risorse fisse,U,UTILIZZO
2015,CNEL,2F,44,Fondo retribuzione di posizione e risultato,42,Destinazioni erogate a valere su risorse variabili,U,UTILIZZO
2015,CNEL,2F,44,Fondo retribuzione di posizione e risultato,9,Risorse variabili,F,FINANZIA
2015,CNEL,2F,44,Fondo retribuzione di posizione e risultato,7,Risorse fisse aventi carattere di certezza e stabilità,F,FINANZIA
2015,CPRE,CP,44,Fondo retribuzione di posizione e risultato,9,Risorse variabili,F,FINANZIA
2015,CPRE,CP,44,Fondo retribuzione di posizione e risultato,42,Destinazioni erogate a valere su risorse variabili,U,UTILIZZO
2015,CPRE,CP,44,Fondo retribuzione di posizione e risultato,7,Risorse fisse aventi carattere di certezza e stabilità,F,FINANZIA
2015,CPRE,CP,44,Fondo retribuzione di posizione e risultato,41,Destinazioni erogate a valere su risorse fisse,U,UTILIZZO
2015,ENAC,ND,14,Risorse sviluppo personale e produttività,9,Risorse variabili,F,FINANZIA
2015,ENAC,ND,14,Risorse sviluppo personale e produttività,42,Destinazioni erogate a valere su risorse variabili,U,UTILIZZO
2015,ENAC,ND,14,Risorse sviluppo personale e produttività,7,Risorse fisse aventi carattere di certezza e stabilità,F,FINANZIA
