"Istituzione","Contratto","Macrocategoria","Categoria","Tele Lavoro Uomini","Tele Lavoro Donne","Soggetti Turnazione Uomini","Soggetti Turnazione Donne","Soggetti Reperibilità Uomini","Soggeti Reperibilità Donne"
"CS10836","RALN","ND","CA","0","0","0","0","1","1"
"C222","RALN","ND","CA","0","0","0","0","1","0"
"C226","RALN","ND","CA","0","0","3","0","2","0"
"C242","RALN","ND","CA","0","0","0","0","1","0"
"C250","RALN","ND","CA","0","0","0","0","5","0"
"C305","RALN","ND","CA","0","0","0","0","1","0"
"C335","RALN","ND","CA","0","0","0","0","1","0"
"C344","RALN","ND","CA","0","0","4","0","14","0"
"C350","RALN","ND","CA","0","0","0","0","2","0"
"C349","RALN","ND","CA","0","0","0","0","3","0"
"C359","RALN","ND","CA","0","0","0","0","3","0"
"C367","RALN","ND","CA","0","0","4","1","0","0"
"C388","RALN","ND","CA","0","0","0","0","3","0"
"C396","RALN","ND","CA","3","0","0","0","0","0"
"C416","RALN","ND","CA","0","0","0","0","1","0"
"C430","RALN","ND","CA","0","0","1","0","0","0"
"C449","RALN","ND","CA","0","0","1","0","0","0"
"C473","RALN","ND","CA","0","0","0","1","0","0"
"C476","REVA","ND","CA","0","0","3","13","14","0"
"C481","PRBZ","ND","CA","0","0","0","0","4","0"
"C487","RALN","ND","CA","0","0","0","0","1","0"
"C496","RALN","ND","CA","0","0","0","0","2","0"
"C503","RALN","ND","CA","0","0","0","0","4","0"
"C527","RALN","ND","CA","0","0","0","2","0","0"
"C579","RALN","ND","CA","0","0","0","0","2","0"
"C596","RALN","ND","CA","0","0","1","0","0","0"
"C601","RALN","ND","CA","0","0","3","10","0","0"
"C626","RALN","ND","CA","0","0","0","0","10","1"
"C628","RALN","ND","CA","0","0","5","0","14","0"
"C630","RALN","ND","CA","0","0","7","0","3","0"
"C634","RALN","ND","CA","0","0","0","0","1","0"
"C658","RALN","ND","CA","0","0","37","7","19","1"
"C685","RALN","ND","CA","0","0","0","0","2","0"
"C715","RALN","ND","CA","0","0","0","0","1","0"
"C10363","RALN","ND","CA","0","0","0","2","0","0"
"C779","RALN","ND","CA","0","0","0","0","4","0"
"C792","RALN","ND","CA","0","0","14","0","4","0"
"C826","RALN","ND","CA","0","0","0","0","1","0"
"C834","RALN","ND","CA","0","0","0","0","1,83","0"
"C849","RALN","ND","CA","0","0","10","1","11","0"
"C859","RALN","ND","CA","0","0","0","2","0","0"
"C893","RALN","ND","CA","0","0","1","0","10","0"
"C910","RALN","ND","CA","0","0","0","0","8","0"
"C924","RALN","ND","CA","0","0","0","0","2","0"
"C960","RALN","ND","CA","0","0","0","5","0","0"
"C963","RALN","ND","CA","0","0","2","1","0","0"
"C970","PRBZ","ND","CA","0","0","16","4","0","0"
"C992","RALN","ND","CA","0","0","0","0","1","0"
"C1069","RALN","ND","CA","0","0","0","0","5","0"
"C1070","RALN","ND","CA","0","0","0","0","3","0"
"C1121","PRBZ","ND","CA","0","0","0","0","1","0"
"C1128","RALN","ND","CA","0","0","3","1","0","0"
"C1163","RALN","ND","CA","0","0","6","0","3","0"
"C1164","PRBZ","ND","CA","0","0","0","0","2","0"
"C1177","PRBZ","ND","CA","0","0","4","0","6","0"
"C1181","RALN","ND","CA","0","0","0","0","1","0"
"C1216","RALN","ND","CA","0","0","0","0","0","1"
"C1264","RALN","ND","CA","0","0","43","3","13","1"
"C1299","RALN","ND","CA","0","0","0","0","4","0"
"C1302","PRBZ","ND","CA","0","0","0","0","1","0"
"C1373","RALN","ND","CA","0","0","0","0","16","0"
"C1390","RALN","ND","CA","0","0","1","1","0","0"
"C1445","PRBZ","ND","CA","0","0","0","0","1","0"
"C1400","RALN","ND","CA","0","0","2","0","2","0"
"C1470","RALN","ND","CA","0","0","2","0","5","0"
"C1471","RALN","ND","CA","0","0","0","0","1","0"
"C1485","RALN","ND","CA","0","0","0","0","6","0"
"C1523","RALN","ND","CA","0","0","0","0","1","0"
"C1524","RALN","ND","CA","0","0","0","0","2","0"
"C1549","RALN","ND","CA","0","0","0","0","1","0"
"C1564","RALN","ND","CA","0","0","0","0","8","0"
"C1578","RALN","ND","CA","0","0","0","0","1","0"
"C1591","RALN","ND","CA","0","0","0","0","1","0"
"C1614","RALN","ND","CA","0","0","0","0","1","0"
"C1615","RALN","ND","CA","0","0","2","0","9","0"
"C1635","RALN","ND","CA","0","0","0","0","1","0"
"C1657","RALN","ND","CA","0","0","0","0","2","0"
