ANNO,CODI_COMPARTO,DESC_COMPARTO,CODI_CONTRATTO,DESC_CONTRATTO
2016,30,CARRIERA PENITENZIARIA,CPEN,CARRIERA PENITENZIARIA
2016,01,SERVIZIO SANITARIO NAZIONALE,SSNA,SERVIZIO SANITARIO NAZIONALE
2016,02,ENTI PUBBLICI NON ECONOMICI,EPNE,ENTI PUBBLICI NON ECONOMICI
2016,03,ENTI DI RICERCA,ERIC,ENTI DI RICERCA
2016,04,REGIONI ED AUTONOMIE LOCALI,RALN,REGIONI E AUT.LOC. (CCNL NAZ.)
2016,05,MINISTERI,MNST,MINISTERI
2016,07,SCUOLA,SCLA,SCUOLA
2016,08,UNIVERSITA',UNIV,UNIVERSITA'
2016,09,CORPI DI POLIZIA,PPSS,POLIZIA DI STATO
2016,09,CORPI DI POLIZIA,CCSS,CARABINIERI
2016,09,CORPI DI POLIZIA,GGFF,GUARDIA DI FINANZA
2016,09,CORPI DI POLIZIA,PPEN,POLIZIA PENITENZIARIA
2016,09,CORPI DI POLIZIA,CFOR,CORPO FORESTALE
2016,09,CORPI DI POLIZIA,CM09,CAPPELLANI MILITARI (CM09)
2016,10,FORZE ARMATE,AAMM,AERONAUTICA
2016,10,FORZE ARMATE,EEII,ESERCITO
2016,10,FORZE ARMATE,CPOR,CAPITANERIE DI PORTO
2016,10,FORZE ARMATE,MMAA,MARINA
2016,10,FORZE ARMATE,CM10,CAPPELLANI MILITARI (CM10)
2016,12,MAGISTRATURA,MAMI,MAGISTRATURA MILITARE
2016,12,MAGISTRATURA,CCON,MAGISTRATURA CONTABILE
2016,12,MAGISTRATURA,CSTA,MAGISTRATURA AMMINISTRATIVA
2016,12,MAGISTRATURA,AVST,AVVOCATURA DI STATO
2016,12,MAGISTRATURA,MGOR,MAGISTRATURA ORDINARIA
2016,13,CARRIERA DIPLOMATICA,CDIP,CARRIERA DIPLOMATICA
2016,27,ENTI ART.70-COMMA 4 - D.165/01,ASSI,A.S.I.
2016,27,ENTI ART.70-COMMA 4 - D.165/01,UCAM,UNIONCAMERE
2016,27,ENTI ART.70-COMMA 4 - D.165/01,ENAC,E.N.A.C.
2016,27,ENTI ART.70-COMMA 4 - D.165/01,CNEL,C.N.E.L.
2016,28,ENTI ART.60 -COMMA 3- D.165/01,EN60,ENTI ART 60 COMMA 3 D 165 01
2016,14,AUTORITA' INDIPENDENTI,AUIN,AUTORITA'' INDIPENDENTI
2016,15,AGENZIE FISCALI,AGFI,AGENZIE FISCALI
2016,21,PRESIDENZA CONSIGLIO MINISTRI,PCMD,PRESIDENZA CONSIGLIO MINISTRI
2016,29,VIGILI DEL FUOCO,VVFF,VIGILI DEL FUOCO
2016,33,IST. FORM.NE ART.CO MUS.LE,AFAM,ISTIT.NI FORM.NE ART. E MUSIC.
2016,31,CARRIERA PREFETTIZIA,CPRE,CARRIERA PREFETTIZIA
2016,32,REGIONI A STATUTO SPECIALE,RETN,CONTRATTO REGIONE TRENTINO
2016,32,REGIONI A STATUTO SPECIALE,RESA,CONTRATTO REGIONE SARDEGNA
2016,32,REGIONI A STATUTO SPECIALE,RESI,CONTRATTO REGIONE SICILIA
2016,32,REGIONI A STATUTO SPECIALE,REVA,REGIONE VALLE D'AOSTA
2016,32,REGIONI A STATUTO SPECIALE,REFR,CONTRATTO FRIULI VENEZIAGIULIA
2016,32,REGIONI A STATUTO SPECIALE,PRTN,PROV. AUTONOMA DI TRENTO
2016,32,REGIONI A STATUTO SPECIALE,PRBZ,PROV. AUTONOMA DI BOLZANO
2016,32,REGIONI A STATUTO SPECIALE,SCTN,SCUOLA  P.A. TRENTO
2016,32,REGIONI A STATUTO SPECIALE,SCBZ,SCUOLA  P.A. BOLZANO
2016,LS,ENTI LISTA S13 ISTAT,LS13,ENTI LISTA S13
