ANNO|CODI_CONTRATTO|CODI_MACROCATEGORIA|DESC_MACROCATEGORIA|CODI_CATEGORIA|DESC_CATEGORIA|CODI_QUALIFICA|DESC_QUALIFICA
2016|AAMM|AP|ALTRO PERSONALE|RP|RESTANTE PERSONALE|000FBT|VOLONTARI IN FERMA PREFISSATA QUADRIENNALE RAFFERMATI
2016|AAMM|AP|ALTRO PERSONALE|RP|RESTANTE PERSONALE|000FP1|VOLONTARI IN FERMA PREFISSATA DI 1 ANNO
2016|AAMM|AP|ALTRO PERSONALE|RP|RESTANTE PERSONALE|000FP4|VOLONTARI IN FERMA PREFISSATA QUADRIENNALE
2016|AAMM|AP|ALTRO PERSONALE|RP|RESTANTE PERSONALE|000SCM|ALLIEVI SCUOLE MILITARI
2016|AAMM|AP|ALTRO PERSONALE|RP|RESTANTE PERSONALE|000180|ALLIEVI
2016|AAMM|AP|ALTRO PERSONALE|RP|RESTANTE PERSONALE|014833|U.F.P. SOTTOTENENTE
2016|AAMM|AP|ALTRO PERSONALE|RP|RESTANTE PERSONALE|017832|U.F.P. TENENTE
2016|AAMM|ND|PERSONALE NON DIRIGENTE|MR|MARESCIALLI|014307|MARESCIALLO DI III CLASSE
2016|AAMM|ND|PERSONALE NON DIRIGENTE|MR|MARESCIALLI|015306|MARESCIALLO DI II CLASSE
2016|AAMM|ND|PERSONALE NON DIRIGENTE|MR|MARESCIALLI|016305|MARESCIALLO DI I CLASSE
2016|AAMM|ND|PERSONALE NON DIRIGENTE|MR|MARESCIALLI|017MC0|MARESCIALLO DI I CLASSE CON 10 ANNI
2016|AAMM|ND|PERSONALE NON DIRIGENTE|MR|MARESCIALLI|017556|PRIMO MARESCIALLO
2016|AAMM|ND|PERSONALE NON DIRIGENTE|MR|MARESCIALLI|017830|PRIMO MARESCIALLO LUOGOTENENTE
2016|AAMM|ND|PERSONALE NON DIRIGENTE|MR|MARESCIALLI|017834|PRIMO MARESCIALLO CON 8 ANNI NEL GRADO
2016|AAMM|ND|PERSONALE NON DIRIGENTE|SG|SERGENTI|014308|SERGENTE
2016|AAMM|ND|PERSONALE NON DIRIGENTE|SG|SERGENTI|014325|SERGENTE MAGGIORE
2016|AAMM|ND|PERSONALE NON DIRIGENTE|SG|SERGENTI|015326|SERGENTE MAGGIORE CAPO
2016|AAMM|ND|PERSONALE NON DIRIGENTE|UF|UFFICIALI|017225|SOTTOTENENTE
2016|AAMM|ND|PERSONALE NON DIRIGENTE|UF|UFFICIALI|018213|CAPITANO
2016|AAMM|ND|PERSONALE NON DIRIGENTE|UF|UFFICIALI|018226|TENENTE
2016|AAMM|ND|PERSONALE NON DIRIGENTE|UF|UFFICIALI|019222|MAGGIORE
2016|AAMM|ND|PERSONALE NON DIRIGENTE|UF|UFFICIALI|019312|TENENTE COLONNELLO
2016|AAMM|ND|PERSONALE NON DIRIGENTE|VP|VOLONTARI IN SERVIZIO PERMANENTE|013294|AVIERE CAPO
2016|AAMM|ND|PERSONALE NON DIRIGENTE|VP|VOLONTARI IN SERVIZIO PERMANENTE|013299|I AVIERE CAPO
2016|AAMM|ND|PERSONALE NON DIRIGENTE|VP|VOLONTARI IN SERVIZIO PERMANENTE|013300|I AVIERE CAPO SCELTO
2016|AAMM|ND|PERSONALE NON DIRIGENTE|VP|VOLONTARI IN SERVIZIO PERMANENTE|013301|I AVIERE SCELTO
2016|AAMM|ND|PERSONALE NON DIRIGENTE|VP|VOLONTARI IN SERVIZIO PERMANENTE|013843|1° AVIERE CAPO SCELTO CON 8 ANNI NEL GRADO
2016|AAMM|NF|DIRIGENTI|DI|DIRIGENTI |0D0SGD|CAPO SM/SGD
2016|AAMM|NF|DIRIGENTI|DI|DIRIGENTI |0D0217|COLONNELLO
2016|AAMM|NF|DIRIGENTI|DI|DIRIGENTI |0D0218|COLONNELLO + 25 ANNI
2016|AAMM|NF|DIRIGENTI|DI|DIRIGENTI |0D0220|GENERALE DI BRIGATA ED EQUIP./ GENERALE DI BRIGATA AEREA
2016|AAMM|NF|DIRIGENTI|DI|DIRIGENTI |0D0297|GENERALE DI DIVISIONE AEREA ED EQUIP.
2016|AAMM|NF|DIRIGENTI|DI|DIRIGENTI |0D0298|GENERALE DI S. AEREA ED EQUIP.
2016|AAMM|NF|DIRIGENTI|DI|DIRIGENTI |0D0524|COLONNELLO + 23 ANNI
2016|AAMM|PS|PERSONALE TRATTAMENTO SUPERIORE|TS|PERSONALE CON TRATTAMENTO SUPERIORE|0D0223|MAGGIORE + 25 ANNI
2016|AAMM|PS|PERSONALE TRATTAMENTO SUPERIORE|TS|PERSONALE CON TRATTAMENTO SUPERIORE|0D0228|TENENTE COLONNELLO + 15 ANNI
2016|AAMM|PS|PERSONALE TRATTAMENTO SUPERIORE|TS|PERSONALE CON TRATTAMENTO SUPERIORE|0D0229|TENENTE COLONNELLO + 25 ANNI
2016|AAMM|PS|PERSONALE TRATTAMENTO SUPERIORE|TS|PERSONALE CON TRATTAMENTO SUPERIORE|0D0232|CAPITANO + 15 ANNI
2016|AAMM|PS|PERSONALE TRATTAMENTO SUPERIORE|TS|PERSONALE CON TRATTAMENTO SUPERIORE|0D0302|MAGGIORE + 15 ANNI
2016|AAMM|PS|PERSONALE TRATTAMENTO SUPERIORE|TS|PERSONALE CON TRATTAMENTO SUPERIORE|0D0525|TENENTE COLONNELLO + 23 ANNI
2016|AAMM|PS|PERSONALE TRATTAMENTO SUPERIORE|TS|PERSONALE CON TRATTAMENTO SUPERIORE|0D0526|TENENTE COLONNELLO + 13 ANNI
2016|AAMM|PS|PERSONALE TRATTAMENTO SUPERIORE|TS|PERSONALE CON TRATTAMENTO SUPERIORE|0D0527|MAGGIORE + 23 ANNI
2016|AAMM|PS|PERSONALE TRATTAMENTO SUPERIORE|TS|PERSONALE CON TRATTAMENTO SUPERIORE|0D0528|MAGGIORE + 13 ANNI
2016|AAMM|PS|PERSONALE TRATTAMENTO SUPERIORE|TS|PERSONALE CON TRATTAMENTO SUPERIORE|0D0530|CAPITANO + 13 ANNI
2016|AAMM|PS|PERSONALE TRATTAMENTO SUPERIORE|TS|PERSONALE CON TRATTAMENTO SUPERIORE|0D0532|TENENTE + 13 ANNI
2016|AFAM|AT|PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO|AR|PERSONALE DELLE AREE A TEMPO DET. CONTRATTO ANNUALE|011124|COADIUTORE TEMPO DET.ANNUALE
2016|AFAM|AT|PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO|AR|PERSONALE DELLE AREE A TEMPO DET. CONTRATTO ANNUALE|012118|ASSIST. AMMINISTRATIVO TEMPO DET.ANNUALE
2016|AFAM|AT|PERSONALE DOCENTE E PERSONALE TECNICO AMMINISTRATIVO|AR|PERSONALE DELLE AREE A TEMPO DET. CONTRATTO ANNUALE|013CDE|COLLAB. TEC. AMMIN. DI BIBLIOT. E DI LAB. TEMPO DET.ANNUALE
