ANNO|CODI_TIPO_VOCE_SPESA|CODI_VOCE_SPESA|DESC_VOCE_SPESA|FLAG_SEGNO
2016|A|015|STIPENDIO|+
2016|A|020|I.I.S.|+
2016|A|030|R.I.A./ PROGR. ECONOMICA DI ANZIANITA'|+
2016|A|035|TREDICESIMA MENSILITA'|+
2016|A|120|ARRETRATI ANNO CORRENTE|+
2016|A|045|ARRETRATI PER ANNI PRECEDENTI|+
2016|A|070|RECUPERI PER RITARDI ASSENZE ECC.|-
2016|I|422|IND. DI VACANZA CONTRATTUALE|+
2016|I|110|INDENNITA' DI AMMINISTRAZIONE|+
2016|I|109|INDENNITA' DI PRESIDENZA|+
2016|I|101|IND. DI FUNZIONE|+
2016|I|102|IND. DI GABINETTO|+
2016|I|106|INDENNITA' DI ISTITUTO|+
2016|I|125|IND. DI VIGILANZA|+
2016|I|126|INDENNITÀ DI TURNAZIONE|+
2016|I|128|ASSEGNO MAGISTRATI|+
2016|I|129|IND. AREA DIRETTIVA E POSIZIONI PARTICOLARI|+
2016|I|131|COMPENSO ORE ECCEDENTI|+
2016|I|139|IND. DELLA VALORIZZAZIONE PROFESSIONALE|+
2016|I|143|PERSONALE SCOLASTICO|+
2016|I|144|INDENNITA' DI ENTE|+
2016|I|145|INDENNITA' DI RESPONSABILITA'|+
2016|I|146|INDENNITA' DI RISCHIO DA RADIAZIONI|+
2016|I|148|INDENN. PER ONERI SPECIFICI|+
2016|I|155|RETRIB. PROF.LE DOCENTI|+
2016|I|156|INDENNITÀ DI PRONTA REPERIBILITÀ|+
2016|I|160|INDENNITA' DI PROFESSIONALITA'|+
2016|I|202|IND DIREZ. STRUTT. COMP.|+
2016|I|204|INDENNITA' DI ESCLUSIVITA'|+
2016|I|207|RETRIBUZIONE DI POSIZIONE|+
2016|I|209|IND. NOTTURNA E FESTIVA|+
2016|I|210|INDENNITA' MENSILE DI VOLO|+
2016|I|211|INDENNITA' MENSILE OPERATORI SUBACQUEI|+
2016|I|212|RETRIBUZIONE DI RISULTATO|+
2016|I|216|INDENNITA' DI SPECIFICITA' MEDICO-VETERINARIA|+
2016|I|222|INDENNITA DI COMPARTO|+
2016|I|224|INDENNITA' MENSILE|+
2016|I|304|INDENNITA' DI ATENEO|+
