"Istituzione","Contratto","Categoria","Qualifica","Causale Assunzione","Uomini","Donne"
"RS9208","SCLA","DO","016135","A24","0","1"
"RS9208","SCLA","IS","016638","A24","0","1"
"IC10938","AFAM","PR","018P01","A24","0","1"
"IC10938","AFAM","PR","018P01","A24","1","0"
"IC10844","AFAM","PR","018P01","A24","0","1"
"IC10844","AFAM","PR","016P02","A24","0","1"
"IC10832","AFAM","PR","018P01","A24","0","1"
"AG12450","MNST","D2","0D0080","A24","1","0"
"AG12246","MNST","D2","0D0079","A24","0","6"
"AG10325","MNST","D2","0D0080","A24","0","1"
"AG10325","MNST","D2","0D0080","A24","1","0"
"AG11796","MNST","D1","0D0078","A24","1","0"
"AG11801","MNST","D1","0D0077","A24","1","0"
"AG11801","MNST","D2","0D0080","A24","1","0"
"M8653","MNST","D1","0D0078","A24","1","0"
"M8653","MNST","D2","0D0079","A24","2","0"
"M8653","MNST","D2","0D0080","A24","0","1"
"M8653","MNST","3A","044F05","A24","0","1"
"M8653","MNST","3A","043F04","A24","0","1"
"M8653","MNST","2A","035F04","A24","0","1"
"M8653","MNST","2A","034F03","A24","1","0"
"M8659","MNST","D2","0D0080","A24","0","1"
"M8659","MNST","3A","043F04","A24","5","0"
"M8659","MNST","3A","042F03","A24","0","2"
"M8659","MNST","3A","042F03","A24","5","0"
"M8659","MNST","3A","040F01","A24","12","0"
"M8659","MNST","2A","034F03","A24","0","6"
"M8659","MNST","2A","034F03","A24","107","0"
"M8659","MNST","2A","032F02","A24","0","34"
"M8659","MNST","2A","032F02","A24","188","0"
"M8652","MNST","D1","0D0077","A24","1","0"
"M8652","MNST","3A","043F04","A24","2","0"
"M8652","MNST","3A","042F03","A24","0","3"
"M8652","MNST","2A","035F05","A24","1","0"
"M8652","MNST","2A","034F03","A24","0","1"
"M8652","MNST","2A","034F03","A24","3","0"
"M8652","MNST","2A","032F02","A24","0","4"
"M8652","MNST","2A","032F02","A24","23","0"
"M8652","MNST","2A","030F01","A24","0","8"
"M8652","MNST","2A","030F01","A24","14","0"
"M8666","MNST","D1","0D0078","A24","1","0"
"M8666","MNST","3A","042F03","A24","0","1"
"M10756","MNST","D1","0D0077","A24","1","0"
"M10756","MNST","D2","0D0080","A24","0","1"
"M8660","MNST","D2","0D0080","A24","2","0"
"M8668","MNST","D1","0D0077","A24","0","2"
"M8668","MNST","D1","0D0077","A24","1","0"
"M8668","MNST","D1","0D0078","A24","1","0"
"M8668","MNST","D2","0D0079","A24","0","1"
"M8668","MNST","D2","0D0080","A24","1","0"
"M8668","MNST","3A","044F05","A24","0","1"
"M8668","MNST","3A","044F05","A24","1","0"
"M8668","MNST","3A","043F04","A24","0","1"
"M8668","MNST","3A","042F03","A24","0","1"
"M8668","MNST","3A","042F03","A24","1","0"
"M8668","MNST","3A","041F02","A24","0","1"
"M8668","MNST","3A","040F01","A24","0","5"
"M8668","MNST","3A","040F01","A24","1","0"
"M8668","MNST","2A","035F04","A24","0","2"
"M8668","MNST","2A","034F03","A24","0","2"
"M8668","MNST","2A","032F02","A24","0","2"
"M8668","MNST","2A","032F02","A24","1","0"
"M8655","MNST","D2","0D0079","A24","0","1"
"M8655","MNST","D2","0D0079","A24","1","0"
"M8655","MNST","3A","044F06","A24","1","0"
"M8655","MNST","3A","040F01","A24","0","1"
"M8655","MNST","3A","040F01","A24","3","0"
"M8655","MNST","2A","035F06","A24","0","2"
"M8655","MNST","2A","035F05","A24","0","1"
"M8655","MNST","2A","035F04","A24","0","1"
"M8655","MNST","2A","035F04","A24","1","0"
"M8655","MNST","2A","034F03","A24","0","2"
"M8655","MNST","2A","034F03","A24","6","0"
"M8655","MNST","2A","032F02","A24","0","3"
"M8655","MNST","2A","032F02","A24","18","0"
"M10398","MNST","D2","0D0079","A24","0","1"
"M10398","MNST","D2","0D0079","A24","1","0"
"M10398","MNST","D2","0D0080","A24","0","16"
"M10398","MNST","D2","0D0080","A24","7","0"
