"Istituzione","Contratto","Categoria","Qualifica","Trattamento Iniziale Uomini","Fascia1_Uomini","Fascia2_Uomini","Fascia3_Uomini","Fascia4_Uomini","Fascia5_Uomini","Fascia6_Uomini","Trattamento Iniziale Donne","Fascia1_Donne","Fascia2_Donne","Fascia3_Donne","Fascia4_Donne","Fascia5_Donne","Fascia6_Donne"
"U9508","SSNA","SI","S18023","0","0","0","0","5","2","2","0","0","1","0","7","4","2"
"U9508","SSNA","SI","S16020","57","63","29","15","24","34","134","98","321","79","35","43","111","481"
"U9508","SSNA","SI","S14E52","0","0","2","29","0","0","0","0","2","1","54","0","0","0"
"U9508","SSNA","SI","S13052","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"U9508","SSNA","ST","S18920","0","0","0","0","2","1","0","0","0","0","0","0","0","0"
"U9508","SSNA","ST","S16021","0","8","6","9","1","16","25","3","18","15","24","4","13","35"
"U9508","SSNA","SV","S18921","0","0","0","2","3","1","0","0","0","0","0","0","0","0"
"U9508","SSNA","SV","S16022","0","0","0","0","0","8","19","0","5","0","0","0","1","3"
"U9508","SSNA","SF","S16019","0","3","0","0","2","3","3","9","27","4","1","0","5","28"
"U9508","SSNA","SF","S13051","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"U9508","SSNA","LP","P16006","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U9508","SSNA","LT","T18025","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"U9508","SSNA","LT","T16024","0","2","0","0","0","1","0","0","10","0","0","1","4","17"
"U9508","SSNA","LT","T16026","0","1","2","0","1","5","0","0","0","0","0","0","0","0"
"U9508","SSNA","LT","T14007","7","1","0","1","0","2","0","0","0","0","0","0","0","0"
"U9508","SSNA","LT","T14E59","0","1","10","20","1","0","0","0","0","0","0","0","0","0"
"U9508","SSNA","LT","T13059","1","14","1","0","8","3","0","0","0","0","0","0","0","0"
"U9508","SSNA","LT","T13660","1","19","1","0","9","0","0","0","15","2","0","12","0","0"
"U9508","SSNA","LT","T12057","10","10","12","1","0","27","0","4","3","0","0","0","2","0"
"U9508","SSNA","LT","T12058","0","0","0","0","0","3","0","0","0","0","0","0","2","0"
"U9508","SSNA","LT","T11008","0","22","1","0","1","22","0","2","79","1","0","0","18","0"
"U9508","SSNA","LA","A18029","0","0","2","0","1","4","0","0","0","4","0","0","3","0"
"U9508","SSNA","LA","A16028","0","2","6","4","1","11","0","1","1","3","10","1","18","1"
"U9508","SSNA","LA","A14005","0","1","26","1","1","46","0","0","4","10","3","1","31","0"
"U9508","SSNA","LA","A13018","0","5","10","0","4","3","0","0","2","3","0","1","1","0"
"U9508","SSNA","LA","A12017","1","16","1","2","1","21","0","1","6","0","6","0","6","0"
"U9508","SSNA","LA","A11030","2","2","0","9","0","10","0","4","0","0","1","0","1","0"
"U9647","SSNA","SI","S18023","0","0","5","0","0","0","0","0","1","21","7","0","0","0"
"U9647","SSNA","SI","S16020","61","23","62","52","60","14","0","166","48","117","87","190","20","0"
"U9647","SSNA","SI","S14E52","2","14","0","0","0","0","0","5","20","0","0","0","0","0"
"U9647","SSNA","ST","S18920","1","3","0","0","0","0","0","0","2","0","0","0","0","0"
"U9647","SSNA","ST","S16021","9","8","9","10","19","1","0","21","13","9","7","27","1","0"
"U9647","SSNA","SV","S16022","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"U9647","SSNA","SF","S18922","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"U9647","SSNA","SF","S16019","0","1","1","0","4","0","0","4","0","0","0","8","2","1"
"U9647","SSNA","LP","P16006","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U9647","SSNA","LT","T16024","0","0","0","0","1","0","0","0","0","0","2","1","0","0"
"U9647","SSNA","LT","T16026","0","0","5","0","0","0","0","0","0","1","0","0","0","0"
"U9647","SSNA","LT","T14007","3","0","4","0","0","0","0","0","0","0","0","0","0","0"
"U9647","SSNA","LT","T14063","1","0","0","0","0","0","0","1","0","0","0","0","0","0"
"U9647","SSNA","LT","T14E59","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U9647","SSNA","LT","T13059","40","5","8","0","5","8","0","0","0","0","0","0","0","0"
"U9647","SSNA","LT","T13660","42","1","0","15","0","0","0","11","0","0","6","0","0","0"
"U9647","SSNA","LT","T12057","7","0","11","0","0","7","0","3","0","1","0","0","0","0"
"U9647","SSNA","LT","T12058","1","0","2","0","1","12","0","0","0","1","0","1","3","0"
"U9647","SSNA","LT","T11008","80","0","0","4","4","20","0","124","0","0","1","1","4","0"
"U9647","SSNA","LA","A18029","2","0","1","1","0","0","0","0","2","1","0","0","0","0"
"U9647","SSNA","LA","A16028","2","0","2","0","0","0","0","3","0","7","0","0","0","0"
"U9647","SSNA","LA","A14005","7","0","25","0","0","0","0","1","0","15","0","0","0","0"
"U9647","SSNA","LA","A12017","20","3","1","2","1","0","0","27","0","2","0","0","0","0"
"U9647","SSNA","LA","A11030","0","0","0","1","4","5","0","0","0","0","0","0","1","0"
"U10509","SSNA","SI","S18023","0","4","2","4","2","0","0","0","3","6","8","0","1","1"
"U10509","SSNA","SI","S16020","72","49","53","103","102","24","18","288","77","66","143","212","52","87"
"U10509","SSNA","SI","S14E52","0","20","0","0","0","0","0","2","20","0","0","0","0","0"
"U10509","SSNA","SI","S13052","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"U10509","SSNA","ST","S16021","9","6","5","12","17","2","9","17","10","3","9","27","3","7"
"U10509","SSNA","SV","S18921","0","1","1","1","0","0","0","0","0","0","0","0","0","0"
"U10509","SSNA","SV","S16022","12","1","10","18","7","10","10","1","0","0","0","0","0","1"
"U10509","SSNA","SF","S18922","0","0","0","0","0","0","0","4","1","3","0","0","0","0"
"U10509","SSNA","SF","S16019","8","2","11","2","2","6","1","44","9","16","4","5","26","18"
"U10509","SSNA","LP","P16006","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"U10509","SSNA","LT","T18025","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"U10509","SSNA","LT","T16024","1","0","1","2","1","0","3","14","2","13","8","16","9","25"
"U10509","SSNA","LT","T16026","0","1","1","1","0","0","0","0","0","0","0","0","0","0"
"U10509","SSNA","LT","T14007","9","0","1","0","1","1","0","0","0","0","0","0","0","0"
"U10509","SSNA","LT","T14E59","0","14","0","0","0","0","0","0","0","0","0","0","0","0"
"U10509","SSNA","LT","T13059","15","13","11","1","5","16","0","0","0","0","0","0","0","0"
"U10509","SSNA","LT","T12057","13","4","8","4","8","11","0","0","2","0","0","0","3","0"
"U10509","SSNA","LT","T12058","7","0","12","0","7","5","0","16","0","3","0","3","9","0"
"U10509","SSNA","LT","T11008","61","0","0","1","2","20","0","77","0","0","1","1","3","0"
"U10509","SSNA","LA","A18029","4","0","1","0","2","0","0","2","1","0","0","1","0","0"
"U10509","SSNA","LA","A16028","2","4","9","6","8","1","6","1","2","4","2","7","0","1"
"U10509","SSNA","LA","A14005","8","0","16","1","16","16","0","19","2","5","1","11","13","0"
"U10509","SSNA","LA","A13018","1","0","3","1","0","0","0","0","2","1","3","0","0","0"
"U10509","SSNA","LA","A12017","41","4","23","2","19","26","0","32","2","6","3","7","27","0"
"U10509","SSNA","LA","A11030","31","0","0","0","4","15","0","37","0","1","0","0","1","0"
"K8640","SSNA","ST","S18920","0","3","0","0","0","0","0","0","2","0","0","0","0","0"
"K8640","SSNA","ST","S16021","0","9","0","0","0","0","5","0","24","1","0","1","0","10"
"K8640","SSNA","ST","S14054","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"K8640","SSNA","LT","T14E59","0","5","0","0","0","0","0","0","10","0","0","0","0","0"
"K8640","SSNA","LT","T13059","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"K8640","SSNA","LT","T12057","1","1","0","0","2","1","0","1","5","0","0","0","0","0"
"K8640","SSNA","LT","T12058","0","2","0","0","0","3","0","0","1","0","0","0","0","0"
"K8640","SSNA","LA","A18029","0","0","0","0","2","0","2","0","0","0","0","0","0","0"
"K8640","SSNA","LA","A16028","0","0","0","0","1","2","0","0","0","0","0","2","9","0"
"K8640","SSNA","LA","A14005","0","10","0","0","3","1","0","0","6","0","0","4","1","0"
"U10508","SSNA","SI","S18023","0","0","0","5","4","6","1","0","1","1","7","28","12","11"
"U10508","SSNA","SI","S16020","16","179","69","44","62","84","334","24","631","144","70","127","173","837"
"U10508","SSNA","SI","S14E52","0","0","3","26","24","0","0","0","2","7","47","40","0","0"
"U10508","SSNA","SI","S13052","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"U10508","SSNA","ST","S18920","0","0","0","4","1","1","0","0","0","0","3","1","0","0"
"U10508","SSNA","ST","S16021","0","9","28","5","8","21","67","2","26","38","6","16","16","82"
"U10508","SSNA","ST","S00062","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"U10508","SSNA","SV","S18921","0","0","0","1","2","1","0","0","0","0","0","0","0","0"
"U10508","SSNA","SV","S16022","0","1","0","1","25","20","48","2","0","0","1","2","0","4"
"U10508","SSNA","SF","S18922","0","2","0","0","8","4","0","0","4","2","3","6","0","0"
"U10508","SSNA","SF","S16019","0","7","0","0","3","5","28","2","46","4","1","1","2","96"
"U10508","SSNA","SF","S14053","0","9","0","0","0","0","0","1","30","0","0","0","0","0"
"U10508","SSNA","SF","S14E51","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"U10508","SSNA","LP","P16006","1","0","0","0","2","2","0","0","0","0","0","0","0","0"
"U10508","SSNA","LT","T18025","0","0","0","0","0","0","0","0","0","0","1","3","0","0"
"U10508","SSNA","LT","T16024","0","0","0","0","0","0","2","0","8","0","0","8","4","65"
"U10508","SSNA","LT","T18027","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"U10508","SSNA","LT","T16026","0","0","4","0","0","0","1","0","0","0","0","0","0","0"
"U10508","SSNA","LT","T14007","0","2","2","2","1","9","0","0","0","0","0","0","0","0"
"U10508","SSNA","LT","T14E59","0","1","29","41","19","1","0","0","0","0","0","1","0","0"
"U10508","SSNA","LT","T13059","1","68","11","1","1","12","0","0","0","0","0","0","0","0"
"U10508","SSNA","LT","T13660","19","45","19","2","32","0","0","17","86","23","11","22","2","0"
"U10508","SSNA","LT","T12057","2","6","8","3","14","34","0","0","2","2","1","1","7","0"
"U10508","SSNA","LT","T12058","0","2","9","5","4","11","0","1","0","9","1","5","5","0"
"U10508","SSNA","LT","T11008","5","117","32","6","0","101","0","10","309","33","2","0","38","0"
"U10508","SSNA","LA","A18029","0","7","19","3","11","0","3","1","5","15","5","5","3","0"
"U10508","SSNA","LA","A16028","0","23","5","2","25","15","10","1","15","11","3","32","15","12"
"U10508","SSNA","LA","A14005","6","53","29","5","22","19","0","0","42","11","6","10","23","0"
"U10508","SSNA","LA","A13018","0","1","3","1","2","3","0","0","2","4","0","0","1","0"
"U10508","SSNA","LA","A12017","0","20","14","3","8","13","0","3","10","11","2","4","8","0"
"U10508","SSNA","LA","A11030","0","9","7","1","0","17","0","2","9","6","0","0","12","0"
"ER10866","SSNA","LT","T14007","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"ER10866","SSNA","LT","T13059","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"ER10866","SSNA","LA","A18029","0","0","0","0","0","0","1","0","1","1","0","0","0","0"
"ER10866","SSNA","LA","A16028","1","0","0","0","1","0","0","2","1","0","0","1","0","0"
"ER10866","SSNA","LA","A14005","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"ER10866","SSNA","LA","A13018","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"U9639","SSNA","SI","S18023","0","0","0","10","1","2","0","0","0","0","31","6","25","0"
"U9639","SSNA","SI","S16020","165","64","61","30","22","18","120","369","135","115","47","33","55","385"
"U9639","SSNA","SI","S14E52","0","0","0","26","0","0","0","0","0","0","47","0","0","0"
"U9639","SSNA","SI","S13052","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"U9639","SSNA","ST","S18920","0","0","0","4","0","1","0","0","0","0","2","0","0","0"
"U9639","SSNA","ST","S16021","17","4","1","2","1","4","52","40","3","3","3","2","4","52"
"U9639","SSNA","SV","S16022","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"U9639","SSNA","SF","S18922","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"U9639","SSNA","SF","S16019","1","0","0","0","1","1","5","5","2","1","0","1","6","31"
"U9639","SSNA","LP","P16006","3","1","0","0","0","0","0","0","0","0","0","0","0","0"
"U9639","SSNA","LT","T16024","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"U9639","SSNA","LT","T18027","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"U9639","SSNA","LT","T16026","0","1","0","1","2","4","0","0","0","0","0","0","0","0"
"U9639","SSNA","LT","T14007","9","0","3","4","0","0","0","0","0","1","0","0","0","0"
"U9639","SSNA","LT","T14E59","0","0","9","12","0","0","0","0","0","1","0","0","0","0"
"U9639","SSNA","LT","T13059","28","0","1","9","0","15","0","0","0","0","1","0","0","0"
"U9639","SSNA","LT","T13660","14","0","0","75","0","0","0","5","0","0","34","0","0","0"
"U9639","SSNA","LT","T12057","5","7","16","0","0","5","0","3","1","0","0","0","1","0"
"U9639","SSNA","LT","T12058","0","0","0","0","0","8","0","0","0","1","0","0","4","0"
"U9639","SSNA","LT","T11008","52","42","2","0","0","82","0","74","60","4","0","0","48","0"
"U9639","SSNA","LA","A18029","0","0","0","0","0","1","0","0","0","0","0","2","2","1"
"U9639","SSNA","LA","A16028","11","0","0","0","8","9","2","15","0","0","3","7","17","3"
"U9639","SSNA","LA","A14005","28","1","23","2","0","3","0","22","0","27","3","1","5","0"
"U9639","SSNA","LA","A13018","0","0","13","9","0","1","0","1","0","5","6","0","5","0"
"U9639","SSNA","LA","A12017","18","11","17","4","0","4","0","22","0","18","2","0","1","0"
"U9639","SSNA","LA","A11030","6","3","7","0","0","24","0","13","5","1","0","0","9","0"
"AP10081","SSNA","ST","S16021","0","0","0","0","1","0","3","0","0","0","0","0","0","1"
"AP10081","SSNA","SV","S18921","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"AP10081","SSNA","SV","S16022","0","0","7","0","1","1","45","0","1","7","0","0","0","13"
"AP10081","SSNA","LT","T18027","1","2","10","3","0","0","2","5","3","11","7","0","0","2"
"AP10081","SSNA","LT","T16026","6","5","7","1","0","1","0","9","11","8","0","0","0","0"
"AP10081","SSNA","LT","T14007","0","2","18","2","0","3","0","0","0","5","0","0","0","0"
