"Istituzione","Contratto","Categoria","Qualifica","Causale Assenza","Form Uomini","Form Donne","Form Media Uomini","Form Media Donne"
"U11799","SSNA","MD","SD0E33","Z01","11","16","0,305555556","1,230769231"
"U11799","SSNA","MD","SD0E34","Z01","13","3","0,097014925","0,030927835"
"U11799","SSNA","MD","SD0N34","Z01","1","0","0,111111111","0"
"U11799","SSNA","MD","SD0035","Z01","65","46","0,14573991","0,087121212"
"U11799","SSNA","DS","SD0E12","Z01","3","8","3","0,533333333"
"U11799","SSNA","DS","SD0A12","Z01","5","42","1,25","0,807692308"
"U11799","SSNA","DS","SD0A41","Z01","2","2","0,666666667","0,333333333"
"U11799","SSNA","DS","SD0A65","Z01","0","2","0","0,222222222"
"U11799","SSNA","DP","PD0A03","Z01","2","1","0,5","0,5"
"U11799","SSNA","DT","TD0A01","Z01","0","3","0","1,5"
"U11799","SSNA","DA","AD0032","Z01","0","9","0","1,8"
"U11799","SSNA","DA","AD0S31","Z01","2","3","0,4","0,75"
"U11799","SSNA","DA","AD0A31","Z01","1","6","0,5","0,75"
"U11799","SSNA","SI","S18023","Z01","19","62","0,1484375","0,127572016"
"U11799","SSNA","SI","S16020","Z01","62","144","0,114391144","0,059430458"
"U11799","SSNA","SI","S14E52","Z01","0","1","0","0,009009009"
"U11799","SSNA","ST","S18920","Z01","21","94","0,355932203","0,94"
"U11799","SSNA","ST","S16021","Z01","18","20","0,146341463","0,051020408"
"U11799","SSNA","SV","S16022","Z01","0","8","0","1,6"
"U11799","SSNA","SF","S18922","Z01","0","13","0","0,382352941"
"U11799","SSNA","SF","S16019","Z01","2","9","0,08","0,097826087"
"U11799","SSNA","LT","T16024","Z01","0","1","0","0,083333333"
"U11799","SSNA","LT","T18027","Z01","13","10","1,181818182","5"
"U11799","SSNA","LT","T16026","Z01","3","3","0,076923077","0,272727273"
"U11799","SSNA","LT","T14007","Z01","12","8","0,206896552","0,888888889"
"U11799","SSNA","LT","T13059","Z01","4","0","0,048192771","0"
"U11799","SSNA","LT","T13660","Z01","2","6","0,011173184","0,005093379"
"U11799","SSNA","LT","T12057","Z01","1","1","0,014492754","0,007751938"
"U11799","SSNA","LT","T12058","Z01","0","1","0","0,038461538"
"U11799","SSNA","LA","A18029","Z01","14","18","0,5","0,272727273"
"U11799","SSNA","LA","A16028","Z01","4","25","0,095238095","0,154320988"
"U11799","SSNA","LA","A14005","Z01","2","26","0,02739726","0,067885118"
"U11799","SSNA","LA","A13018","Z01","0","1","0","0,005464481"
"U10903","SSNA","MD","SD0E33","Z01","103","20","2,942857143","10"
"U10903","SSNA","MD","SD0E34","Z01","0","31","0","5,166666667"
"U10903","SSNA","MD","SD0035","Z01","807","267","3,955882353","2,78125"
"U10903","SSNA","DS","SD0E38","Z01","0","35","0","17,5"
"U10903","SSNA","DS","SD0A38","Z01","0","18","0","2,571428571"
"U10903","SSNA","DS","SD0A12","Z01","16","12","2","1,714285714"
"U10903","SSNA","DS","SD0A65","Z01","0","6","0","6"
"U10903","SSNA","DP","PD0S45","Z01","35","0","35","0"
"U10903","SSNA","SI","S18023","Z01","42","0","1,024390244","0"
"U10903","SSNA","ST","S16021","Z01","0","1","0","0,037037037"
"U10812","SSNA","MD","SD0035","Z01","51","0","0,168316832","0"
"U12262","SSNA","MD","SD0E33","Z01","79","3","3,291666667","0,75"
"U12262","SSNA","MD","SD0E34","Z01","64","24","4","3"
"U12262","SSNA","MD","SD0035","Z01","195","284","2,5","2,347107438"
"U12262","SSNA","MD","SD0036","Z01","17","0","4,25","0"
"U12262","SSNA","MV","SD0E74","Z01","1","4","1","4"
"U12262","SSNA","MV","SD0A73","Z01","10","16","0,769230769","3,2"
"U12262","SSNA","DS","SD0E39","Z01","0","1","0","1"
"U12262","SSNA","DS","SD0E38","Z01","1","0","1","0"
"U12262","SSNA","DS","SD0E65","Z01","0","2","0","0,666666667"
"U12262","SSNA","DS","SD0A65","Z01","1","15","0,25","1"
"U12262","SSNA","DS","SD0483","Z01","0","10","0","5"
"U12262","SSNA","DT","TD0S67","Z01","0","1","0","1"
"U12262","SSNA","DA","AD0032","Z01","1","1","1","1"
"U12262","SSNA","DA","AD0A31","Z01","0","3","0","3"
"U12262","REFR","CD","052000","Z01","0","3","0","1"
"U12262","REFR","CD","051000","Z01","0","4","0","1"
"U12262","REFR","CD","050000","Z01","0","12","0","2,4"
"U12262","REFR","CD","049000","Z01","0","12","0","1,5"
"U12262","REFR","CD","048000","Z01","8","47","4","2,473684211"
"U12262","REFR","CC","043000","Z01","1","0","0,333333333","0"
"U12262","REFR","CC","042000","Z01","4","0","1,333333333","0"
"U12262","REFR","CB","0B8000","Z01","0","3","0","0,5"
"U12262","REFR","CB","038000","Z01","0","5","0","0,192307692"
"U12262","REFR","CB","037000","Z01","0","1","0","0,083333333"
"U12262","SSNA","SI","S18023","Z01","0","35","0","1,09375"
