"Istituzione","Contratto","Categoria","Stipendio","Ria","Tredicesima","Straordinario","Indennità Fisse","Altre Accessorie"
"M8659","AAMM","DI","44851","3771","6900","8240","38833","1134"
"IC10938","AFAM","DI","39979","0","3357","0","4918","0"
"IC10517","AFAM","DI","39980","0","3156","0","25814","0"
"OC9816","AVST","G1","78553","51843","10850","0","78700","36"
"OC9815","CCON","G1","85468","48205","12320","0","13726","1016"
"M10395","CCSS","DI","44835","6091","6094","20379","26177","428"
"M8659","CCSS","DI","44987","5465","6960","20042","29454","756"
"M8666","CCSS","DI","42303","5251","6130","17899","27597","901"
"M8665","CCSS","DI","45004","5245","6778","14863","30074","298"
"M8653","CDIP","E1","59331","1324","6181","0","25909","74"
"M8660","CFOR","DI","41905","5393","6313","11257","27408","290"
"M8668","CM09","DI","50207","0","6392","13884","13980","2738"
"M8659","CM10","DI","49382","1044","7888","564","37826","3415"
"M8652","CPEN","CP","37450","3900","5731","4424","27446","922"
"M10756","CPOR","DI","44508","3923","6404","5928","28156","2995"
"M8655","CPRE","I1","56782","876","7184","0","25776","2408"
"OC9829","CSTA","G1","84578","57357","11770","0","17315","584"
"AA8582","EEII","DI","45188","1960","0","3710","23555","0"
"M8659","EEII","DI","44878","2918","6667","6710","31066","2049"
"T11879","EN60","DI","95824","0","11567","0","1320","435"
"T10647","EN60","DI","86795","0","6984","0","315","0"
"T8531","EN60","DI","88449","0","7431","0","0","0"
"CS11889","EN60","DI","54158","0","9214","0","0","0"
"CS11910","EN60","DI","72195","0","6206","0","0","0"
"CS11868","EN60","DI","68397","0","16808","0","33354","4248"
"CS11877","EN60","DI","71571","0","11929","0","0","19700"
"CS10085","EN60","DI","39600","0","0","0","0","0"
"D8372","EN60","DI","36300","9417","6118","0","37493","17231"
"D8338","EN60","DI","73154","0","6096","0","0","4750"
"D8347","EN60","DI","96742","11730","8518","0","0","7356"
"D8383","EN60","DI","48135","614","4846","0","9406","8470"
"D8385","EN60","DI","67232","4341","6204","0","0","1681"
"D8405","EN60","DI","41238","7799","7654","0","42808","8500"
"D8413","EN60","DI","95227","0","11921","0","8936","18885"
"D8320","EN60","DI","117540","0","9947","0","0","1418"
"D8365","EN60","DI","75089","0","5681","0","0","14458"
"D8380","EN60","DI","41239","12689","8463","0","47623","13752"
"D8343","EN60","DI","72297","1549","6154","0","0","12816"
"D8414","EN60","DI","51118","11978","6833","0","22342","15764"
"D8339","EN60","DI","41239","11878","8818","0","26245","0"
"D10098","EN60","DI","93971","0","5807","0","0","14991"
"D8351","EN60","DI","41238","7230","17864","0","58697","19450"
"D8393","EN60","DI","82526","0","6523","0","0","0"
