REGIONE;ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;UOMINI;DONNE
R00018;M8655;PPSS;TS;0D0203;10;7
R00081;M8655;PPSS;DI;0D0274;11;8
R00205;M8655;PPSS;AS;013954;1294;273
R00081;M8655;VVFF;CR;Q32CS3;82;0
R00045;M8655;MNST;3A;044F05;21;30
R00081;M8655;PPSS;DI;0D0400;1;0
R00018;M8655;VVFF;CT;C40CI2;11;4
R00072;M8655;MNST;2A;032F02;347;249
R00045;M8655;VVFF;FA;F43FA2;2;9
R00090;M8655;PPSS;TS;0D0515;10;9
R00205;M8655;VVFF;CR;Q32AB1;10;0
R00134;M8655;MNST;3A;042F03;68;82
R00081;M8655;PPSS;DI;0D0189;4;0
R00134;M8655;MNST;2A;035F04;26;42
R00205;M8655;MNST;3A;041F02;14;29
R00081;M8655;MNST;1A;024F02;1;0
R00205;M8655;VVFF;CR;V30AB4;8;3
R00072;M8655;PPSS;IP;017836;158;30
R00081;M8655;VVFF;VD;D43D03;7;3
R00090;M8655;VVFF;CL;C40CA3;3;5
R00072;M8655;VVFF;IA;I42IS4;7;1
R00205;M8655;PPSS;AS;013259;496;136
R00205;M8655;PPSS;RS;014280;61;8
R00205;M8655;PPSS;TS;0D0516;12;2
R00205;M8655;PPSS;AS;013955;193;10
R00161;M8655;VVFF;CT;C40DI3;1;0
R00205;M8655;PPSS;TS;0D0202;10;4
R00081;M8655;PPSS;TS;0D0202;11;4
R00036;M8655;VVFF;VD;D43D04;10;0
R00045;M8655;PPSS;TS;0D0515;28;18
R00036;M8655;VVFF;DI;0D0189;2;0
R00081;M8655;PPSS;RS;015953;276;64
R00205;M8655;VVFF;IA;I42IS2;26;0
R00045;M8655;VVFF;OP;O25OP2;0;8
R00205;M8655;PPSS;VD;019207;4;1
R00036;M8655;MNST;2A;035F04;25;32
R00205;M8655;PPSS;RS;014197;210;30
R00036;M8655;VVFF;VD;D43D03;3;0
R00223;M8655;MNST;3A;042F03;3;5
R00036;M8655;VVFF;DI;0D0188;1;0
R00018;M8655;VVFF;CT;C40CI3;3;0
R00081;M8655;PPSS;IP;016192;25;11
R00205;M8655;PPSS;TS;0D0515;17;5
R00072;M8655;MNST;2A;035F06;4;8
R00045;M8655;VVFF;CT;C40CI1;0;1
R00045;M8655;VVFF;FA;F43FA4;1;1
R00045;M8655;VVFF;CL;C40DA3;19;12
R00045;M8655;VVFF;IA;I42IS2;9;0
R00205;M8655;VVFF;DI;0D0188;1;0
R00205;M8655;VVFF;CR;Q34CR1;26;0
R00205;M8655;PPSS;AS;013179;301;20
R00205;M8655;VVFF;CR;V30VF2;306;1
R00081;M8655;VVFF;CR;Q34CR1;28;0
R00205;M8655;VVFF;CR;Q34AB1;1;0
R00205;M8655;MNST;3A;043F04;2;13
R00205;M8655;PPSS;AS;013181;181;13
R00072;M8655;VVFF;OP;O25OP4;122;61
