ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_ASSENZA;FORM_UOMINI;FORM_DONNE;FORM_MEDIA_UOMINI;FORM_MEDIA_DONNE
C5925;PRBZ;CD;000718;Z01;4;0;0;0
C5925;PRBZ;CD;000715;Z01;0;3;0;0
C5925;PRBZ;CD;000719;Z01;3;0;0;0
C5925;PRBZ;FP;0D0485;Z01;0;2;0;2
C5925;PRBZ;CB;000725;Z01;13;6;0;0
C5925;PRBZ;CC;000721;Z01;9;28;0;0
C5925;PRBZ;CB;000723;Z01;4;11;0;0
C518;RALN;CB;036494;Z01;1;0;0;0
C518;RALN;CC;045000;Z01;3;0;0;0
C518;RALN;CC;056000;Z01;0;2;0;0
C518;RALN;CD;051489;Z01;1;0;0;0
CS11112;SSNA;LT;T16024;Z01;2;0;0;0
Q9184;UNIV;CD;048000;Z01;41;116;0;0
Q9184;UNIV;CD;049000;Z01;6;20;0;0
Q9184;UNIV;CC;040000;Z01;13;28;0;0
Q9184;UNIV;CE;060000;Z01;0;2;0;0
Q9184;UNIV;CE;059000;Z01;16;27;0;0
Q9184;UNIV;CD;050000;Z01;19;28;1,4615384615385;2,1538461538462
Q9184;UNIV;CE;061000;Z01;8;0;0;0
Q9184;UNIV;CD;051000;Z01;4;30;0;0
Q9184;UNIV;CC;046000;Z01;5;18;0;0
Q9184;UNIV;CD;052000;Z01;0;3;0;0
Q9184;UNIV;CC;042000;Z01;17;13;0;0
Q9184;UNIV;CB;038000;Z01;0;1;0;0
Q9184;UNIV;CC;043000;Z01;5;48;0;0
Q9184;UNIV;CC;045000;Z01;1;9;0;0
Q9184;UNIV;CE;062000;Z01;0;7;0;0
Q9184;UNIV;CC;097000;Z01;7;2;0;0
Q9184;UNIV;CC;0C7000;Z01;0;2;0;0
C7433;RALN;CD;050000;Z01;1;0;0;0
C7433;RALN;CC;056000;Z01;2;0;0;0
C4112;PRBZ;CD;000718;Z01;0;12;0;0
C4112;PRBZ;FP;0D0485;Z01;21;0;0;0
C4112;PRBZ;CB;000725;Z01;1;0;0;0
C4112;PRBZ;CB;000723;Z01;3;4;0;0
C4112;PRBZ;CC;000721;Z01;10;34;0;0
C4112;PRBZ;CC;000722;Z01;0;8;0;0
C4112;PRBZ;CA;000727;Z01;1;0;0;0
N8741;RALN;CC;043000;Z01;4;2;0;0
N8741;RALN;CC;056000;Z01;0;4;0;0
N8741;RALN;DI;0D0165;Z01;2;0;0;0
N8741;RALN;CC;045000;Z01;2;0;0;0
N8741;RALN;CD;050000;Z01;4;0;0;0
C6780;RALN;CD;050000;Z01;2;0;0;0
C6780;RALN;CD;049000;Z01;3;11;0;0
C6780;RALN;CD;057000;Z01;2;4;0;0
C6780;RALN;CC;042000;Z01;24;36;6;9
C6780;RALN;CC;056000;Z01;6;1;0;0
C3870;RALN;CD;050000;Z01;0;8;0;0
C3870;RALN;CD;049000;Z01;0;1;0;0
C3870;RALN;CC;043000;Z01;0;2;0;0
C3870;RALN;CC;056000;Z01;0;3;0;0
CS10627;RALN;DI;0D0165;Z01;2;3;0;0
LS12070;LS13;LI;0000ND;Z01;57;39;0;0
ER12596;RALN;CD;057000;Z01;5;2;0;0
ER12596;RALN;CB;054000;Z01;0;1;0;0
ER12596;RALN;CD;051489;Z01;0;4;0;0
ER12596;RALN;DF;0D0098;Z01;2;0;0;0
C1746;RALN;CD;057000;Z01;3;3;0;0
C1746;RALN;CD;058000;Z01;0;3;0;0
C1746;RALN;CD;052487;Z01;0;5;0;0
C1746;RALN;CD;0D6A00;Z01;2;3;0;0
C1746;RALN;CD;052486;Z01;1;0;0;0
C7083;RALN;CD;057000;Z01;0;1;0;0
