ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;PERSONALE_TEMPO_PIENO_UOMINI;PERSONALE_TEMPO_PIEDO_DONNE;PART_TIME_INF50%_UOMINI;PART_TIME_INF50%_DONNE;PART_TIME_SUP50%_UOMINI;PART_TIME_SUP50%_DONNE
IP10501;SSNA;LT;T12057;1;0;0;0;0;0
IP10501;SSNA;LA;A18029;1;0;0;0;0;0
IP10501;SSNA;LT;T12058;0;13;0;1;0;0
IP10501;SSNA;SI;S18023;0;1;0;0;0;0
IP10501;SSNA;SI;S14056;0;1;0;0;0;0
IP10501;SSNA;LA;A14005;0;1;0;0;0;0
IP10501;SSNA;SI;S16020;0;3;0;0;0;3
IP10501;SSNA;LT;T13660;0;10;0;3;0;0
IP10501;SSNA;DA;AD0032;1;0;0;0;0;0
U12369;SSNA;LA;A13018;10;45;0;0;0;6
U12369;SSNA;DS;SD0A65;1;16;0;1;0;2
U12369;SSNA;LA;A14005;20;130;0;6;0;37
U12369;SSNA;ST;S18920;4;3;0;0;0;0
U12369;SSNA;LA;A12017;18;49;0;4;1;6
U12369;SSNA;LT;T14E59;26;3;0;0;0;0
U12369;SSNA;DS;SD0E66;1;0;0;0;0;0
U12369;SSNA;DS;SD0E65;2;2;0;0;0;0
U12369;SSNA;SI;S16020;294;1043;2;98;1;165
U12369;SSNA;LA;A16028;12;50;0;0;0;7
U12369;SSNA;SI;S14E52;5;14;0;0;0;2
U12369;SSNA;LP;P16006;2;0;0;0;0;0
U12369;SSNA;DS;SD0483;1;1;0;0;0;0
U12369;SSNA;SF;S16019;15;65;1;6;1;27
U12369;SSNA;SI;S13052;0;4;0;1;0;0
U12369;SSNA;DA;AD0A31;1;1;0;0;0;0
U12369;SSNA;LA;A18029;0;7;0;0;0;1
U12369;SSNA;DS;SD0A41;1;3;0;0;0;1
U12369;SSNA;DS;SD0604;0;1;0;0;0;0
U12369;SSNA;LT;T14063;8;0;1;0;0;0
U12369;SSNA;MD;SD0E33;16;6;0;0;0;0
U12369;SSNA;MD;SD0N34;9;0;0;0;0;0
U12369;SSNA;MD;SD0035;203;257;0;0;0;6
U12369;SSNA;DS;SD0A38;2;5;0;0;0;0
U12369;SSNA;MD;SD0N33;4;0;0;0;0;0
U12369;SSNA;MD;SD0036;25;12;0;0;0;0
U12369;SSNA;MD;SD0E34;52;26;0;0;0;0
U12369;SSNA;MD;SD0597;3;0;0;0;0;0
U12369;SSNA;LT;T16024;0;24;0;0;0;6
U12369;SSNA;LT;T16026;18;3;0;0;0;1
U12369;SSNA;DP;PD0S45;1;0;0;0;0;0
U12369;SSNA;LT;T14007;8;0;0;0;0;0
U12369;SSNA;ST;S16021;81;141;0;6;0;13
U12369;SSNA;DS;SD0E38;0;2;0;0;0;0
U12369;SSNA;DT;TD0S01;1;0;0;0;0;0
U12369;SSNA;DA;AD0S31;2;4;0;0;0;0
U12369;SSNA;DP;PD0A45;1;1;0;0;0;0
U12369;SSNA;DS;SD0A15;0;2;0;0;0;0
U12369;SSNA;SI;S18023;16;62;1;1;0;7
U12369;SSNA;DP;PD0004;1;0;0;0;0;0
