ISTITUZIONE;CONTRATTO;CATEGORIA_PARTENZA;QUALIFICA_PARTENZA;CATEGORIA_ARRIVO;QUALIFICA_ARRIVO;TIPO_PASSAGGIO;NUMERO_PASSAGGI
C4057;REFR;CB;038000;CB;0B7000;O;1
C4057;REFR;CB;0B7000;CB;0B8000;O;2
C4057;REFR;CD;049000;CD;050000;O;1
C4057;REFR;CB;037000;CB;038000;O;4
C4057;REFR;CD;0D6000;CD;0D7000;O;1
C4057;REFR;CD;051000;CD;052000;O;5
C4057;REFR;CB;034000;CB;036000;O;1
C4057;REFR;CD;048000;CD;049000;O;1
C4057;REFR;CC;045000;CC;046000;O;8
C4057;REFR;CC;043000;CC;045000;O;1
C1510;RALN;CD;049000;CD;050000;O;2
C1510;RALN;CC;056000;CC;042000;O;23
C1510;RALN;CD;057000;CD;049000;O;5
C1510;RALN;CB;032000;CB;034000;O;1
C1510;RALN;CB;054000;CB;032000;O;2
C1510;RALN;CD;050000;CD;051489;O;4
C1510;RALN;CB;037493;CB;038491;O;5
C1510;RALN;CC;043000;CC;045000;O;17
C1510;RALN;CC;042000;CC;043000;O;1
C1510;RALN;CB;036495;CB;037493;O;8
C1510;RALN;CD;052487;CD;0D6000;O;5
C1510;RALN;CC;045000;CC;046000;O;1
C1510;RALN;CD;051489;CD;052487;O;10
C1510;RALN;CB;038491;CB;0B7000;O;2
C1510;RALN;CD;052486;CD;0D6A00;O;1
C1510;RALN;CB;055000;CB;036494;O;1
C1510;RALN;CD;051488;CD;052486;O;2
C1510;RALN;CB;034000;CB;036495;O;7
C2032;RALN;CC;045000;CC;046000;O;1
C688;RALN;CC;056000;CC;042000;O;1
CS9938;RALN;CC;045000;CC;046000;O;2
CS9938;RALN;CB;036494;CB;037492;O;1
CS9938;RALN;CC;042000;CC;043000;O;5
CS9938;RALN;CC;043000;CC;045000;O;10
CS9938;RALN;CD;049000;CD;050000;O;2
CS9938;RALN;CB;037493;CB;038491;O;5
CS9938;RALN;CB;036495;CB;037493;O;1
C2731;RALN;CC;042000;CC;043000;O;2
C2731;RALN;CC;043000;CC;045000;O;12
C2731;RALN;CB;038490;CB;0B7A00;O;5
C2731;RALN;CD;049000;CD;050000;O;3
C2731;RALN;CD;057000;CD;049000;O;3
C2731;RALN;CC;056000;CC;042000;O;2
C2731;RALN;CC;045000;CC;046000;O;3
C1130;RALN;CC;043000;CC;045000;O;1
C1130;RALN;CC;045000;CC;046000;O;2
UC10797;RALN;CC;045000;CC;046000;O;8
UC10797;RALN;CD;051489;CD;052487;O;1
UC10797;RALN;CC;056000;CC;042000;O;10
UC10797;RALN;CB;037492;CB;038490;O;1
UC10797;RALN;CB;036494;CB;037492;O;2
UC10797;RALN;CD;057000;CD;049000;O;5
UC10797;RALN;CB;038490;CB;0B7A00;O;3
UC10797;RALN;CA;053000;CA;025000;O;1
UC10797;RALN;CB;034000;CB;036495;O;1
UC10797;RALN;CD;049000;CD;050000;O;7
UC10797;RALN;CB;054000;CB;032000;O;1
UC10797;RALN;CC;043000;CC;045000;O;6
UC10797;RALN;CD;050000;CD;051489;O;2
UC10797;RALN;CB;055000;CB;036494;O;3
UC10797;RALN;CB;038491;CB;0B7000;O;1
UC10797;RALN;CC;042000;CC;043000;O;13
UC10797;RALN;CA;025000;CA;027000;O;5
C5735;RALN;CB;034000;CB;036495;O;1
C5735;RALN;CB;036495;CB;037493;O;1
C5735;RALN;CC;042000;CC;043000;O;1
C1429;RALN;CC;056000;CC;042000;O;1
C1429;RALN;CD;052487;CD;0D6000;O;1
C1429;RALN;CB;036495;CB;037493;O;1
C1429;RALN;CC;045000;CC;046000;O;1
C1429;RALN;CB;038490;CB;0B7A00;O;1
C3465;RALN;CC;042000;CC;043000;O;1
AU11878;AUIN;LI;0000ND;DI;0D00NF;V;6
C5554;RALN;CD;051488;CD;052486;O;1
C5554;RALN;CD;050000;CD;051489;O;1
Q9131;UNIV;CB;030000;CB;032000;O;4
Q9131;UNIV;CC;043000;CD;048000;V;2
Q9131;UNIV;CC;045000;CD;048000;V;2
Q9131;PRUN;PR;0D0168;PR;0D0174;O;1
Q9131;UNIV;CC;040000;CD;048000;V;13
Q9131;UNIV;CD;048000;CE;059000;V;2
Q9131;PRUN;PR;0D0169;PR;0D0168;O;3
Q9131;PRUN;PR;0D0174;PR;0D0172;O;1
Q9131;PRUN;PR;0D0167;PR;0D0169;O;1
Q9131;UNIV;CB;032000;CC;040000;V;2
Q9131;PRUN;RI;0D0177;PR;0D0169;V;32
Q9131;PRUN;PR;0D0175;PR;0D0172;O;1
Q9131;UNIV;CC;042000;CD;048000;V;6
Q9131;PRUN;PR;0D0168;PR;0D0169;O;3
Q9131;PRUN;RI;0D0176;RI;0D0177;O;2
Q9131;PRUN;PR;0D0172;PR;0D0173;O;4
Q9131;UNIV;CB;037000;CC;040000;V;1
Q9131;PRUN;PR;0D0169;PR;0D0173;O;39
Q9131;UNIV;CD;049000;CE;059000;V;1
Q9131;PRUN;RI;0D0178;RI;0D0177;O;6
Q9131;PRUN;PR;0D0175;PR;0D0173;O;2
C628;RALN;CD;0D6A00;DI;0D0165;V;2
C628;RALN;CB;037492;CB;038490;O;4
C628;RALN;CB;034000;CB;036495;O;13
C628;RALN;CB;036495;CB;037493;O;1
C628;RALN;CB;036495;CB;055000;O;1
C628;RALN;CA;0A5000;CB;054000;V;7
C628;RALN;CC;045000;CC;046000;O;1
C628;RALN;CB;038491;CB;0B7000;O;3
C628;RALN;CC;043000;CC;045000;O;5
C628;RALN;CD;050000;CD;051489;O;4
C1731;RALN;CC;046000;CD;0D6000;V;1
C4888;RALN;CB;036495;CB;037493;O;1
C4888;RALN;CA;025000;CA;027000;O;1
C4888;RALN;CD;051489;CD;052487;O;3
C4888;RALN;CA;028000;CA;0A5000;O;12
C4888;RALN;CC;043000;CC;045000;O;2
C4888;RALN;CD;057000;CD;049000;O;2
C4888;RALN;CD;058000;CD;051488;O;3
C4888;RALN;CB;034000;CB;036495;O;1
C4888;RALN;CB;032000;CB;034000;O;1
