ISTITUZIONE;CONTRATTO;CATEGORIA;STIPENDIO;RIA;TREDICESIMA;STRAORDINARIO;INDENNITA_FISSE;ALTRE_ACCESSORIE
U12357;SSNA;MD;39330,92;1548,81;5951,14;2227,77;24550,62;2673,4
U12357;SSNA;LT;18053,72;1859,74;1683,73;575,1;170,07;3154,3
U12357;SSNA;DP;40077,47;36,67;4941,88;0;33163,75;0
U12357;SSNA;DS;39582,72;273,84;4820,15;339,1;19899,85;595,82
U12357;SSNA;SF;22042,01;2736,2;2106,51;310,62;186,39;2823,7
U12357;SSNA;SI;22005,05;2685,02;2102,46;723,28;632,32;4770,07
U12357;SSNA;LA;19117,06;2220,9;1848,41;681,91;162,94;2558,8
U12357;SSNA;DA;39786;47,67;5420,33;0;42327,33;0
U12357;SSNA;ST;22035,62;2641,6;2097,18;2148,01;675,49;3693,46
U12357;SSNA;SV;22094;4892,33;2265,33;19,33;632,67;2941,33
U12360;SSNA;MD;39979,38;1701,06;5766,01;1325,48;20617,79;2367,14
U12360;SSNA;LT;18251,65;1484,83;1694,41;642,95;154,03;2735,19
U12360;SSNA;DP;39979,12;0;5130;0;53510,25;0
U12360;SSNA;DS;39978,72;134,76;4554,67;374,3;12258,99;1049,52
U12360;SSNA;SF;22087,35;2373,79;2088,06;13,75;207,79;2122,34
U12360;SSNA;SI;22123,47;2389,98;2091,76;604,24;626,61;3896,96
U12360;SSNA;LA;19710,29;2034,44;1848,57;327,81;177,39;2020,68
U12360;SSNA;DA;39979,14;275,57;5247,29;0;34940,86;95,29
U12360;SSNA;ST;22093,88;2354,33;2052,99;1032,02;687,2;3350,25
U12360;SSNA;SV;22093,91;3520,34;2241,57;925,28;456,77;3296,3
U12465;SSNA;MD;39675,59;1665,73;5803,41;534,88;25473,54;2109,76
U12465;SSNA;LT;18799,21;1724,92;1731,45;191,96;155,36;4196,53
U12465;SSNA;DP;39979,33;2294,67;5568,56;0;42000,33;746,56
U12465;SSNA;DS;39784,11;420,68;5077,82;91,54;21951,87;639,64
U12465;SSNA;SF;22433,09;2882,29;2136,8;48,45;204,18;4273,53
