ANNO;CODI_CONTRATTO;CODI_MACROCATEGORIA;DESC_MACROCATEGORIA;CODI_CATEGORIA;DESC_CATEGORIA;CODI_QUALIFICA;DESC_QUALIFICA
2018;REVA;SC;SEGRETARI;FP;SEGRETARI COMUNALI E PROVINCIALI;0D0103;SEGRETARIO II FASCIA
2018;REVA;SC;SEGRETARI;FP;SEGRETARI COMUNALI E PROVINCIALI;0D0102;SEGRETARIO I FASCIA
2018;REVA;SC;SEGRETARI;FP;SEGRETARI COMUNALI E PROVINCIALI;0D0485;SEGRETARIO III FASCIA
2018;REFR;AP;ALTRO PERSONALE;RP;RESTANTE PERSONALE;000096;COLLABORATORE A TEMPO DETERMINATO
2018;REFR;AP;ALTRO PERSONALE;DF;DIRIGENTI E ALTE SPECIALIZ. FUORI DOTAZIONE ORG.;0D0095;ALTRE SPECIALIZZ. FUORI D.O.
2018;REFR;NF;DIRIGENTI;DI;DIRIGENTI;0D0100;QUALIFICA DIRIGENZIALE TEMPO INDET.
2018;REFR;NF;DIRIGENTI;DI;DIRIGENTI;0D0099;QUALIFICA DIRIGENZIALE TEMPO DETER.
2018;REFR;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;051000;POSIZIONE ECONOMICA D4
2018;REFR;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;049000;POSIZIONE ECONOMICA D2
2018;REFR;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;048000;POSIZIONE ECONOMICA D1
2018;REFR;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;0D7000;POSIZIONE ECONOMICA D7
2018;REFR;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;0D6000;POSIZIONE ECONOMICA D6
2018;REFR;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;050000;POSIZIONE ECONOMICA D3
2018;REFR;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;0D8000;POSIZIONE ECONOMICA D8
2018;REFR;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;052000;POSIZIONE ECONOMICA D5
2018;REFR;AP;ALTRO PERSONALE;PC;PERSONALE CONTRATTISTA;000061;CONTRATTISTI
2018;REFR;AP;ALTRO PERSONALE;DG;DIRETTORI GENERALI;0D0097;DIRETTORE  GENERALE
2018;PPSS;ND;PERSONALE NON DIRIGENTE;IP;ISPETTORI;016IC0;ISPETTORE CAPO CON 10 ANNI
2018;PPSS;ND;PERSONALE NON DIRIGENTE;IP;ISPETTORI;014201;VICE ISPETTORE
2018;PPSS;ND;PERSONALE NON DIRIGENTE;IP;ISPETTORI;016192;ISPETTORE CAPO
2018;PPSS;ND;PERSONALE NON DIRIGENTE;IP;ISPETTORI;015191;ISPETTORE
2018;PPSS;ND;PERSONALE NON DIRIGENTE;IP;ISPETTORI;017837;ISPETTORE SUPERIORE S.UPS CON 8 ANNI NELLA QUALIFICA
2018;PPSS;ND;PERSONALE NON DIRIGENTE;IP;ISPETTORI;017268;ISPETTORE SUPERIORE S. UPS
2018;PPSS;ND;PERSONALE NON DIRIGENTE;IP;ISPETTORI;017951;"SOSTITUTO COMMISSARIO ""COORDINATORE"""
2018;PPSS;ND;PERSONALE NON DIRIGENTE;IP;ISPETTORI;017836;SOSTIT.COMMISSARIO
2018;VVFF;DV;PERSONALE DIRETTIVO;VM;DIRETTIVI MEDICI;D43M05;DIRETTORE MEDICO-VICEDIRIGENTE CON SCATTO 26 ANNI
2018;VVFF;DV;PERSONALE DIRETTIVO;VM;DIRETTIVI MEDICI;D43M03;DIRETTORE MEDICO-VICEDIRIGENTE
2018;VVFF;DV;PERSONALE DIRETTIVO;VG;DIRETTIVI GINNICO SPORTIVI;D43G03;DIRETTORE GINNICO-SPORTIVO VICEDIRIGENTE
2018;VVFF;DV;PERSONALE DIRETTIVO;VG;DIRETTIVI GINNICO SPORTIVI;D43G04;DIRETTORE GINNICO-SPORTIVO VICEDIRIGENTE CON SCATTO 16 ANNI
2018;VVFF;ND;PERSONALE NON DIRIGENTE;FA;FUNZIONARI AMM.VO-CONTABILI;F43FA1;FUNZIONARIO AMMINISTRATIVO-CONTABILE  VICE DIRETTORE
2018;VVFF;ND;PERSONALE NON DIRIGENTE;FA;FUNZIONARI AMM.VO-CONTABILI;F43FA2;FUNZIONARIO AMMINISTRATIVO-CONTABILE DIRETTORE
2018;VVFF;ND;PERSONALE NON DIRIGENTE;FA;FUNZIONARI AMM.VO-CONTABILI;F43FA4;FUNZIONARIO AMM.VO CONT.LE DIRET. VICEDIR. CON SCATTO CONV.
