ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_CESSAZIONE;UOMINI;DONNE
C7484;RALN;CA;0A5000;C03;0;2
C4878;RALN;CA;0A5000;C01;1;0
C6200;RALN;CA;0A5000;C03;1;0
C1145;RALN;CA;0A5000;C03;1;1
C7484;RALN;CA;0A5000;C01;1;0
C4351;RALN;CA;0A5000;C03;1;0
C5924;RALN;CA;0A5000;C03;1;1
C440;RALN;CA;0A5000;C03;1;0
C8030;RALN;CA;0A5000;C99;1;0
C3571;RALN;CA;0A5000;C21;1;0
C6476;RALN;CA;0A5000;C03;1;0
V9727;RALN;CA;0A5000;C01;1;0
R9202;RALN;CA;0A5000;C03;4;0
C1186;RALN;CA;0A5000;C01;1;0
C1518;RALN;CA;0A5000;C99;1;0
C3169;RALN;CA;0A5000;C99;1;0
C5924;RALN;CA;0A5000;C01;0;1
C6722;RALN;CA;0A5000;C03;1;0
R9202;RALN;CA;0A5000;C01;1;0
C4320;RALN;CA;0A5000;C03;0;1
C5353;RALN;CA;0A5000;C03;1;0
C3065;RALN;CA;0A5000;C03;2;0
C4347;RALN;CA;0A5000;C03;1;2
C225;RALN;CA;0A5000;C03;0;1
R9202;RALN;CA;0A5000;C99;0;1
C4260;RALN;CA;0A5000;C01;1;0
C7229;RALN;CA;0A5000;C01;1;0
C684;RALN;CA;0A5000;C03;1;0
C5841;RALN;CA;0A5000;C01;0;1
C634;RALN;CA;0A5000;C03;1;0
C859;RALN;CA;0A5000;C01;0;1
C7677;RALN;CA;0A5000;C03;1;0
C3819;RALN;CA;0A5000;C01;2;0
C8264;RALN;CA;0A5000;C01;1;0
C5876;RALN;CA;0A5000;C03;1;1
C859;RALN;CA;0A5000;C03;1;0
C1485;RALN;CA;0A5000;C01;1;0
C497;RALN;CA;0A5000;C01;12;0
C6293;RALN;CA;0A5000;C03;0;1
C6830;RALN;CA;0A5000;C03;1;1
C5765;RALN;CA;0A5000;C03;1;0
C6551;RALN;CA;0A5000;C01;0;1
C2285;RALN;CA;0A5000;C99;0;1
C5634;RALN;CA;0A5000;C01;0;1
C1712;RALN;CA;0A5000;C03;1;0
C2014;RALN;CA;0A5000;C01;0;1
P9032;RALN;CA;0A5000;C01;1;0
C7368;RALN;CA;0A5000;C99;1;0
C4880;RALN;CA;0A5000;C99;1;0
C2285;RALN;CA;0A5000;C03;2;0
C1485;RALN;CA;0A5000;C03;3;0
C4371;RALN;CA;0A5000;C01;0;1
C5386;RALN;CA;0A5000;C03;0;1
C1470;RALN;CA;0A5000;C03;2;0
C4368;RALN;CA;0A5000;C03;1;0
C4887;RALN;CA;0A5000;C01;1;0
C2462;RALN;CA;0A5000;C03;0;1
C6993;RALN;CA;0A5000;C03;1;0
C3584;RALN;CA;0A5000;C03;3;1
C7220;RALN;CA;0A5000;C03;1;0
C6966;RALN;CA;0A5000;C03;0;4
C1850;RALN;CA;0A5000;C01;1;0
C2125;RALN;CA;0A5000;C01;1;0
C5131;RALN;CA;0A5000;C01;0;1
C8086;RALN;CA;0A5000;C03;1;0
C2236;RALN;CA;0A5000;C99;2;0
C6865;RALN;CA;0A5000;C03;1;0
P9028;RALN;CA;0A5000;C01;1;0
C4867;RALN;CA;0A5000;C01;1;0
C2829;RALN;CA;0A5000;C03;1;0
C2397;RALN;CA;0A5000;C01;1;0
C3187;RALN;CA;0A5000;C01;2;0
C6583;RALN;CA;0A5000;C99;1;0
C428;RALN;CA;0A5000;C03;1;0
C946;RALN;CA;0A5000;C01;1;0
C422;RALN;CA;0A5000;C01;1;0
C226;RALN;CA;0A5000;C03;3;0
C4077;RALN;CA;0A5000;C01;1;0
C4197;RALN;CA;0A5000;C01;1;1
C1069;RALN;CA;0A5000;C99;1;0
C536;RALN;CA;0A5000;C03;1;0
C3065;RALN;CA;0A5000;C99;0;1
C5222;RALN;CA;0A5000;C99;1;0
C2240;RALN;CA;0A5000;C03;1;0
C4194;RALN;CA;0A5000;C01;3;2
C7975;RALN;CA;0A5000;C03;1;0
C600;RALN;CA;0A5000;C03;1;0
C6404;RALN;CA;0A5000;C99;1;0
C3188;RALN;CA;0A5000;C03;2;0
C3777;RALN;CA;0A5000;C01;1;0
C3818;RALN;CA;0A5000;C01;1;0
C5505;RALN;CA;0A5000;C99;1;0
C226;RALN;CA;0A5000;C19;1;0
ER11953;RALN;CA;0A5000;C03;1;0
C226;RALN;CA;0A5000;C01;1;1
C5715;RALN;CA;0A5000;C01;0;1
C3996;RALN;CA;0A5000;C03;1;0
C2767;RALN;CA;0A5000;C03;1;1
C6981;RALN;CA;0A5000;C01;1;0
C1069;RALN;CA;0A5000;C01;3;0
C630;RALN;CA;0A5000;C01;1;0
C5695;RALN;CA;0A5000;C03;1;0
C6765;RALN;CA;0A5000;C01;1;0
C992;RALN;CA;0A5000;C01;1;0
C6671;RALN;CA;0A5000;C01;1;0
C2981;RALN;CA;0A5000;C03;2;0
C5665;RALN;CA;0A5000;C01;2;0
C4947;RALN;CA;0A5000;C18;1;0
C3702;RALN;CA;0A5000;C01;1;0
C4849;RALN;CA;0A5000;C21;0;1
C3574;RALN;CA;0A5000;C03;1;0
C6086;RALN;CA;0A5000;C03;1;0
C3737;RALN;CA;0A5000;C99;1;0
C2071;RALN;CA;0A5000;C03;1;1
C797;RALN;CA;0A5000;C99;1;0
