ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;TRATTAMENTO_INIZIALE_UOMINI;FASCIA1_UOMINI;FASCIA2_UOMINI;FASCIA3_UOMINI;FASCIA4_UOMINI;FASCIA5_UOMINI;FASCIA6_UOMINI;TRATTAMENTO_INIZIALE_DONNE;FASCIA1_DONNE;FASCIA2_DONNE;FASCIA3_DONNE;FASCIA4_DONNE;FASCIA5_DONNE;FASCIA6_DONNE
U10520;SSNA;LT;T11008;0;2;5;0;0;3;0;0;1;2;0;0;8;0
U10520;SSNA;SV;S18865;0;1;6;6;1;0;0;0;0;4;4;0;0;0
U10520;SSNA;LT;T18868;5;5;2;0;0;0;0;0;1;0;0;0;0;0
U10520;SSNA;ST;S18864;0;0;1;0;1;2;0;0;0;1;2;3;0;0
U10520;SSNA;LT;T12058;0;0;0;0;0;1;0;0;0;0;1;1;1;0
U10520;SSNA;LT;T12057;7;3;4;1;0;2;0;5;19;14;9;3;0;0
U10520;SSNA;ST;S16021;11;4;1;1;5;6;9;15;10;9;11;17;38;28
U10520;SSNA;SF;S18866;0;0;0;0;1;1;0;0;1;1;1;4;2;0
U10520;SSNA;LT;T16024;0;1;0;2;0;1;0;2;0;1;2;4;2;2
U10520;SSNA;LT;T13059;1;0;8;6;5;9;0;0;7;12;14;4;3;0
U10520;SSNA;LA;A18869;2;0;0;3;1;0;0;10;14;6;9;14;4;0
U10520;SSNA;LT;T14S59;3;19;27;17;6;0;0;5;9;5;1;0;0;0
U10520;SSNA;SF;S16019;3;2;1;0;4;4;6;10;5;3;7;19;45;31
U10520;SSNA;LT;T16026;0;0;3;2;2;2;0;0;2;1;0;0;0;0
U10520;SSNA;SI;S16020;57;26;12;13;27;28;25;180;95;79;72;145;329;215
U10520;SSNA;LA;A12017;3;1;0;1;0;0;0;4;1;2;2;3;6;0
U10520;SSNA;LT;T13660;37;9;6;4;3;11;0;144;41;74;78;52;21;0
U10520;SSNA;LA;A16028;1;1;1;2;3;1;1;4;11;15;11;32;32;3
U10520;SSNA;LP;P16006;0;0;1;0;0;0;0;0;0;0;0;0;0;0
U10520;SSNA;SF;S14S51;0;1;0;0;0;0;0;0;0;2;1;1;0;0
U10520;SSNA;SI;S18863;0;0;1;6;3;1;0;1;1;8;17;26;17;5
U10520;SSNA;SV;S16022;0;2;0;2;5;9;11;5;0;0;1;3;8;6
U10520;SSNA;LA;A11030;0;0;0;1;0;0;0;0;0;0;0;0;0;0
U10520;SSNA;SI;S14S52;0;0;1;0;0;0;0;0;0;4;8;6;0;0
U10520;SSNA;LT;T18867;0;0;0;0;0;1;0;0;0;1;3;2;0;0
U10520;SSNA;LA;A14005;4;7;6;2;1;5;0;41;87;65;15;15;65;0
U10520;SSNA;LT;T14063;1;0;0;0;0;1;0;0;2;0;0;0;0;0
U10520;SSNA;SF;S13051;0;0;0;1;0;0;0;0;0;0;0;0;0;0
U10520;SSNA;LT;T14007;1;0;1;0;3;2;0;2;4;0;0;0;0;0
U10520;SSNA;LA;A13870;0;1;1;0;1;1;0;1;2;2;4;14;11;0
U12263;SSNA;LP;P16006;0;0;0;0;1;0;0;0;0;0;0;0;0;0
U12263;SSNA;LT;T12058;0;0;0;1;2;0;0;0;3;2;1;2;6;0
U12263;SSNA;LA;A18869;0;1;0;1;0;1;1;0;9;2;1;2;0;0
U12263;SSNA;LA;A11030;0;1;0;0;0;2;0;0;0;0;0;0;4;0
U12263;SSNA;SV;S16022;7;5;1;8;5;1;0;14;8;1;12;7;6;0
U12263;SSNA;SF;S16019;13;8;2;3;1;1;0;57;41;21;27;13;4;6
U12263;SSNA;LT;T14007;1;13;2;1;1;1;0;0;2;0;0;0;0;0
U12263;SSNA;LA;A14005;8;9;4;1;0;0;0;39;35;26;12;12;7;0
U12263;SSNA;ST;S18864;0;1;2;1;1;0;0;0;1;3;0;0;0;0
U12263;SSNA;LT;T18867;0;0;0;0;0;0;0;0;0;0;1;0;0;0
U12263;SSNA;SI;S18863;0;0;3;4;0;0;0;2;10;27;11;0;0;0
U12263;SSNA;SI;S14S52;0;4;1;0;0;0;0;0;17;5;0;0;0;0
U12263;SSNA;LT;T16024;1;1;0;0;0;0;0;4;2;2;5;1;3;2
U12263;SSNA;LA;A13870;3;1;0;3;1;3;0;4;11;2;2;1;7;0
U12263;SSNA;SI;S16020;127;42;31;63;6;2;0;476;334;186;548;55;35;1
U12263;SSNA;ST;S16021;24;26;11;31;0;0;0;88;68;26;66;7;15;2
U12263;SSNA;LA;A12017;9;3;6;0;1;1;0;13;15;18;3;10;7;0
U12263;SSNA;LT;T16026;5;4;6;1;1;0;0;2;1;1;0;0;0;0
U12263;SSNA;LA;A16028;2;1;3;2;1;0;0;14;19;16;9;1;1;1
U12263;SSNA;LT;T12057;3;17;14;0;1;0;0;2;10;13;1;0;1;0
U12263;SSNA;LT;T13660;66;48;1;1;2;0;0;249;324;47;16;17;6;0
U12263;SSNA;SV;S18865;0;0;0;0;0;0;0;0;2;0;4;0;0;0
U12263;SSNA;LT;T14S59;3;35;2;0;0;0;0;0;0;2;0;0;0;0
U12263;SSNA;LT;T11008;0;0;0;0;2;11;0;0;14;6;13;16;38;0
U12263;SSNA;LT;T13059;0;5;6;8;2;0;0;1;0;2;1;1;1;0
U12263;SSNA;SF;S18866;0;0;0;4;0;0;0;0;0;0;3;0;0;0
U12263;SSNA;SI;S13052;0;0;0;0;0;1;0;0;0;0;0;0;0;0
U12263;SSNA;LT;T18868;0;2;1;1;0;0;0;0;0;1;0;0;0;0
U9591;SSNA;SF;S14S51;0;0;0;0;0;0;0;0;0;0;4;0;0;0
U9591;SSNA;LT;T12058;0;0;0;0;0;2;0;0;0;0;0;0;5;0
U9591;SSNA;LT;T14007;1;1;0;3;0;4;0;0;0;0;0;0;0;0
U9591;SSNA;LT;T12057;8;9;6;2;0;5;0;1;15;3;2;0;7;0
U9591;SSNA;LT;T16024;0;0;0;0;0;0;0;1;0;0;0;0;0;0
U9591;SSNA;LT;T14S59;0;0;0;3;0;0;0;0;0;0;0;0;0;0
U9591;SSNA;LA;A16028;1;0;0;0;1;0;1;5;3;3;4;3;1;3
U9591;SSNA;ST;S18864;0;0;0;0;0;1;0;0;0;1;1;1;0;0
