ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_ASSUNZIONE;UOMINI;DONNE
C4371;RALN;CD;0D1000;A23;1;1
C826;RALN;CD;0D1000;A23;2;2
UC10643;RALN;CD;0D1000;A23;1;2
C5907;RALN;CD;0D1000;A23;1;1
C2349;RALN;CD;0D1000;A23;1;0
C6243;RALN;CD;0D1000;A41;0;1
C5907;RALN;CD;0D1000;A30;0;1
C2615;RALN;CD;0D1000;A23;4;4
C7693;RALN;CD;0D1000;A23;1;1
C798;RALN;CD;0D1000;A30;0;1
P9069;RALN;CD;0D1000;A23;1;2
C7722;RALN;CD;0D1000;A23;0;1
UC10187;RALN;CD;0D1000;A23;1;0
C817;RALN;CD;0D1000;A23;0;1
C7405;RALN;CD;0D1000;A23;0;3
C489;RALN;CD;0D1000;A23;0;7
IP10622;RALN;CD;0D1000;A23;1;3
C1504;RALN;CD;0D1000;A24;1;0
C2910;RALN;CD;0D1000;A30;1;0
C4108;RALN;CD;0D1000;A23;1;0
C8249;RALN;CD;0D1000;A23;0;3
C1248;RALN;CD;0D1000;A23;0;2
C3990;RALN;CD;0D1000;A23;1;0
C6151;RALN;CD;0D1000;A23;1;1
C697;RALN;CD;0D1000;A23;0;1
C1613;RALN;CD;0D1000;A23;1;0
C305;RALN;CD;0D1000;A23;0;1
C1613;RALN;CD;0D1000;A30;1;0
C356;RALN;CD;0D1000;A30;0;1
C3857;RALN;CD;0D1000;A30;0;1
C4371;RALN;CD;0D1000;A24;3;1
C4224;RALN;CD;0D1000;A23;1;0
P9095;RALN;CD;0D1000;A30;0;1
C4428;RALN;CD;0D1000;A23;1;0
P9099;RALN;CD;0D1000;A23;1;0
C5991;RALN;CD;0D1000;A23;0;2
C2382;RALN;CD;0D1000;A23;0;1
C4945;RALN;CD;0D1000;A23;0;1
UC10240;RALN;CD;0D1000;A23;1;1
C8054;RALN;CD;0D1000;A23;0;1
C8054;RALN;CD;0D1000;A30;0;1
C7466;RALN;CD;0D1000;A23;0;2
C4931;RALN;CD;0D1000;A24;0;1
