ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;COMANDATI_DISTACCATI_UOMINI;COMANDATI_DISTACCATI_DOMME;FUORI_RUOLO_UOMINI;FUORI_RUOLO_DONNE;COMANDATI_DISTACCATI_ESTERO_UOMINI;COMANDATI_DISTACCATI_ESTERO_DONNE;FUORI_RUOLO_ESTERO_UOMINI;FUORI_RUOLO_ESTERO_DONNE;CONVENZIONI_UOMINI;CONVENZIONI_DONNE;CONVENZIONI_ESTERO_UOMINI;CONVENZIONI_ESTERO_DONNE;ESONERI_UOMINI;ESONERI_DONNE;ASPETTATIVE_UOMINI;ASPETTATIVE_DONNE
C6045;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1050;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
UC9981;RALN;CD;049000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
R9190;RALN;CD;049000;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C7510;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C5337;RALN;CD;049000;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R9813;RALN;CD;049000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
C4511;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
UC12430;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6449;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1545;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
C6217;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C2666;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C2871;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5806;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C5090;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C8225;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
P9056;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0
C2435;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
CM9080;RALN;CD;049000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
IP10641;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UC12414;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C2673;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C12510;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
UC12919;RALN;CD;049000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
C3922;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C7848;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C6018;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C1047;RALN;CD;049000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
C1558;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C5004;RALN;CD;049000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C1390;RALN;CD;049000;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C5263;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
P9068;RALN;CD;049000;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
