ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;TELE_LAVORO_UOMINI;TELE_LAVORO_DONNE;SOGGETTI_TURNAZIONE_UOMINI;SOGGETTI_TURNAZIONE_DONNE;SOGGETTI_REPERIBILITà_UOMINI;SOGGETTI_REPERIBILITà_DONNE
OR13324;EPNE;2F;AB;0;1;0;0;0;0
OR13493;EPNE;2F;AC;1;0;0;0;0;0
OR13493;EPNE;2F;AB;1;0;0;0;0;0
IP11028;SCTN;NF;DO;10;53;0;0;0;0
IP11028;SCTN;NF;SA;5;16;0;0;0;0
C6261;REFR;SC;CB;3;5;0;0;5;0
C6261;REFR;SC;CD;5;7;0;0;0;0
C6261;REFR;SC;XB;0;0;1;0;0;0
C6261;REFR;SC;CC;9;24;0;0;0;0
C6261;REFR;SC;XA;0;0;5;4;5;4
C7921;RALN;NF;CD;0;2;0;0;0;0
C7921;RALN;NF;CC;2;0;0;0;1;2
C931;RALN;NF;CD;15;22;2;1;1;1
C931;RALN;NF;CC;9;9;30;9;31;10
C931;RALN;NF;CA;0;4;0;0;1;0
C931;RALN;NF;CB;9;10;0;0;3;2
C3908;RALN;NF;CD;0;1;0;0;0;0
C3908;RALN;NF;CB;0;3;0;0;0;0
C3908;RALN;NF;CC;2;2;0;0;0;0
LS12109;LS13;NF;LI;4;8;0;0;0;0
C2401;RALN;NF;CD;3;3;0;0;0;0
C2401;RALN;NF;CC;2;9;3;4;1;1
C2401;RALN;NF;CB;1;4;0;0;0;1
C5948;RALN;NF;CC;0;0;2;2;0;0
P9057;RALN;NF;CB;57;39;8;0;31;0
P9057;RALN;NF;CD;21;12;0;0;5;0
P9057;RALN;NF;CC;33;19;0;0;5;0
D8384;RALN;NF;CD;216;30;0;0;0;0
D8384;RALN;NF;CB;61;289;0;0;0;0
D8384;RALN;NF;CC;62;81;0;0;0;0
C2868;RALN;NF;CB;0;0;5;2;1;0
C2868;RALN;NF;CA;0;0;3;0;0;0
C2868;RALN;NF;CC;0;0;17;20;1;1
C2868;RALN;NF;CD;0;0;3;0;1;1
CS11112;SSNA;AP;LT;0;3;0;0;0;0
CS11112;SSNA;AP;LA;1;1;0;0;0;0
C1792;REFR;SC;XA;0;0;1;0;0;0
C2810;PRBZ;NF;CC;2;1;0;0;0;0
C2810;PRBZ;NF;CD;1;0;0;0;0;0
C2810;PRBZ;NF;CB;0;1;3;0;3;0
C3045;RALN;NF;CB;3;0;0;0;1;0
C3045;RALN;NF;CC;6;4;4;1;6;0
C3045;RALN;NF;CD;2;3;0;0;2;0
C1389;RALN;NF;CC;0;1;0;0;0;0
C5974;PRBZ;NF;CB;0;1;0;0;0;0
C5974;PRBZ;NF;CC;3;6;0;0;0;0
C1177;PRBZ;NF;CA;0;0;3;7;3;7
C1177;PRBZ;NF;CC;3;37;2;2;2;2
C1177;PRBZ;NF;CB;1;0;6;3;6;3
C1177;PRBZ;NF;CD;7;7;1;0;1;0
C1392;RALN;NF;CC;3;7;0;7;2;0
C1392;RALN;NF;CD;4;6;0;1;1;1
C1392;RALN;NF;CB;3;4;0;0;11;1
Q9136;UNIV;AP;CE;0;0;0;0;1;0
Q9136;UNIV;AP;CD;3;0;0;0;2;0
Q9136;UNIV;AP;CC;7;2;4;0;1;0
Q9136;UNIV;AP;CB;0;0;11;0;0;0
Q9152;UNIV;AP;CB;0;0;0;2;0;0
Q9152;UNIV;AP;CD;0;0;0;1;0;0
Q9152;UNIV;AP;CC;0;0;0;1;0;0
C4037;RALN;NF;CA;0;5;0;0;0;0
C7092;RALN;NF;CB;0;0;13;3;0;0
C7092;RALN;NF;CC;0;0;2;3;0;0
LS11942;LS13;NF;LI;245;222;0;0;9;0
LS12070;LS13;NF;LI;18;37;0;0;0;0
C12341;PRTN;DV;CC;2;5;0;0;0;0
C12341;PRTN;DV;CB;0;1;0;0;0;0
C7428;RALN;NF;CB;0;1;0;0;2;1
C7428;RALN;NF;CD;2;2;0;0;1;0
C7428;RALN;NF;CC;2;4;0;0;1;3
OL13254;EPNE;2F;AC;0;1;0;0;0;0
OL13254;EPNE;2F;AB;0;1;0;0;0;0
OR13699;EPNE;2F;AB;0;2;0;0;0;0
OR13699;EPNE;2F;AC;0;1;0;0;0;0
ER11810;RALN;NF;CC;0;1;0;0;0;0
ER11810;RALN;NF;CD;1;2;0;0;0;0
E8469;EPNE;2F;AC;23;77;0;0;0;0
