ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;TRATTAMENTO_INIZIALE_UOMINI;FASCIA1_UOMINI;FASCIA2_UOMINI;FASCIA3_UOMINI;FASCIA4_UOMINI;FASCIA5_UOMINI;FASCIA6_UOMINI;FASCIA7_UOMINI;FASCIA8_UOMINI;FASCIA9_UOMINI;FASCIA10_UOMINI;FASCIA11_UOMINI;TRATTAMENTO_INIZIALE_DONNE;FASCIA1_DONNE;FASCIA2_DONNE;FASCIA3_DONNE;FASCIA4_DONNE;FASCIA5_DONNE;FASCIA6_DONNE;FASCIA7_DONNE;FASCIA8_DONNE;FASCIA9_DONNE;FASCIA10_DONNE;FASCIA11_DONNE
IR8540;ERIC;RI;0D0093;12;9;16;4;4;2;2;0;0;0;0;0;6;4;6;2;2;1;1;0;0;0;0;0
IR8540;ERIC;RI;0D0089;0;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IR8540;ERIC;TC;0D0094;3;2;1;0;2;1;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0
IR8540;ERIC;TC;0D0090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
IR8540;ERIC;RI;0D0397;0;0;4;3;5;3;1;0;0;0;0;0;0;0;1;2;0;1;1;0;0;0;0;0
IR8540;ERIC;TC;0D0398;1;1;0;1;3;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
AP201;SSNA;LT;T11008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
AP201;SSNA;LA;A13870;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0
AP201;SSNA;SV;S18865;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0
AP201;SSNA;LT;T14007;6;0;6;1;1;1;0;0;0;0;0;0;4;0;5;1;1;0;0;0;0;0;0;0
AP201;SSNA;LA;A12017;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;5;0;0;0;0;0;0
AP201;SSNA;LA;A18869;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
AP201;SSNA;LT;T18868;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AP201;SSNA;LT;T12057;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;6;0;0;0;0;0;0
AP201;SSNA;LT;T16026;11;7;6;4;5;1;3;0;0;0;0;0;6;6;16;17;12;1;2;0;0;0;0;0
AP201;SSNA;LT;T14063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
AP201;SSNA;SV;S16022;1;0;1;0;0;0;8;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;0;0
AP201;SSNA;LT;T14S59;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AP201;SSNA;LA;A14005;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
