ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;TELE_LAVORO_UOMINI;TELE_LAVORO_DONNE;SOGGETTI_TURNAZIONE_UOMINI;SOGGETTI_TURNAZIONE_DONNE;SOGGETTI_REPERIBILITà_UOMINI;SOGGETTI_REPERIBILITà_DONNE;PERS_LAVORO_AGILE_U;PERS_LAVORO_AGILE_D;PERS_COWORKING_U;PERS_COWORKING_D
LS12157;LS13;NF;LI;3;5;0;0;0;0;0;0;0;0
C1632;RALN;ND;CD;0;1;0;0;0;0;0;0;0;0
C1632;RALN;ND;CC;0;1;0;0;0;0;0;0;0;0
C481;PRBZ;NF;PC;0;0;3;0;0;0;0;0;0;0
C481;PRBZ;NF;CC;3;6;0;0;0;0;0;0;0;0
C481;PRBZ;NF;CA;0;0;0;2;0;0;0;0;0;0
C481;PRBZ;NF;CB;0;4;19;3;19;3;0;0;0;0
UC11821;RALN;ND;CC;0;1;0;0;0;0;0;0;0;0
C2401;RALN;ND;CB;0;2;0;0;0;1;0;0;0;0
C2401;RALN;ND;CC;0;3;4;4;1;1;0;0;0;0
C2401;RALN;ND;CD;1;0;0;0;0;0;0;0;0;0
OL13083;EPNE;ME;AB;0;2;0;0;0;0;0;0;0;0
C6153;RALN;ND;CC;0;0;4;0;0;0;0;0;0;0
C4151;RALN;ND;CB;0;0;0;0;7;7;0;0;0;0
C4151;RALN;ND;CC;0;0;9;0;1;3;0;0;0;0
C4151;RALN;ND;CD;0;0;0;0;1;0;0;0;0;0
P9073;RALN;ND;CB;5;6;0;0;40;0;0;0;0;0
P9073;RALN;ND;CD;29;46;1;0;4;0;0;0;0;0
P9073;RALN;ND;CC;4;15;4;7;2;1;0;0;0;0
C7015;RALN;ND;CC;0;5;6;6;6;3;0;0;0;0
C7015;RALN;ND;CA;1;0;0;0;0;0;0;0;0;0
C7015;RALN;ND;CB;0;0;2;0;0;0;0;0;0;0
C7015;RALN;ND;CD;0;6;0;0;0;1;0;0;0;0
C6261;REFR;SC;CD;2;18;0;0;0;0;0;0;0;0
C6261;REFR;SC;CC;6;15;0;0;4;1;0;0;0;0
C6261;REFR;SC;CB;2;3;0;0;4;0;0;0;0;0
C6261;REFR;SC;XA;0;0;5;3;0;0;0;0;0;0
C3705;PRBZ;NF;CC;0;0;1;0;0;0;0;0;0;0
C3705;PRBZ;NF;CD;0;0;1;0;0;0;0;0;0;0
C3705;PRBZ;NF;CA;0;0;0;0;5;0;0;0;0;0
C3705;PRBZ;NF;CB;0;5;6;1;7;0;0;0;0;0
AU10079;AUIN;ND;LI;85;147;10;0;0;0;0;0;0;0
AS12815;LS13;NF;LI;74;86;15;1;21;1;0;0;0;0
C6572;RALN;ND;CB;2;1;0;0;0;0;0;0;0;0
C6572;RALN;ND;CA;0;1;0;0;0;0;0;0;0;0
C6572;RALN;ND;CC;3;0;0;0;0;0;0;0;0;0
C6572;RALN;ND;CD;2;2;0;0;0;0;0;0;0;0
