ANNO;CODI_TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2022;A;045;ARRETRATI PER ANNI PRECEDENTI;+
2022;A;035;"TREDICESIMA MENSILITA'";+
2022;A;015;STIPENDIO;+
2022;A;070;RECUPERI PER RITARDI ASSENZE ECC.;-
2022;A;031;R.I.A.;+
2022;A;032;PROGRESSIONE PER CLASSI E SCATTI/FASCE RETRIBUTIVE;+
2022;A;020;I.I.S.;+
2022;A;033;DIFFERENZIALE STIPENDIALE MATURATO;+
2022;S;740;DIRITTI DI ROGITO E IND.SCAVALCO;+
2022;I;212;RETRIBUZIONE DI RISULTATO;+
2022;I;222;INDENNITA DI COMPARTO;+
2022;S;770;ELEMENTO PEREQUATIVO;+
2022;S;615;"INDENNITA' PER SPECIFICHE RESPONSABILITA'";+
2022;S;604;COMPENSI ONERI RISCHI E DISAGI;+
2022;S;630;"COMPENSI PRODUTTIVITA'";+
2022;S;999;"ALTRE SPESE ACCESSORIE ED INDENNITA' VARIE";+
2022;T;101;STRAORDINARIO;+
2022;I;207;RETRIBUZIONE DI POSIZIONE;+
2022;S;998;ARRETRATI ANNI PRECEDENTI;+
2022;I;418;ASSEGNO AD PERSONAM;+
2022;S;720;INCENTIVI PER FUNZIONI TECNICHE;+
2022;I;422;IND. DI VACANZA CONTRATTUALE;+
2022;I;125;IND. DI VIGILANZA;+
2022;I;143;PERSONALE SCOLASTICO;+
2022;S;750;ONORARI AVVOCATI;+
2022;I;424;INDENNITÀ ART. 42, COMMA 5-TER, D.LGS. 151/2001;+
2022;I;223;RETRIBUZIONE AGGIUNTIVA PER SEDI CONVENZIONATE;+
2022;S;761;"COMPETENZE PERSONALE COMANDATO/DISTACCATO PRESSO L'AMM.NE";+
2022;S;771;INDENNITÀ DI FUNZIONE;+
2022;S;710;COMPENSO AGGIUNTIVO AL SEGR. COMUNALE QUALE DIR. GENERALE;+
2022;S;190;"INDENNITA' DI STAFF/COLLABORAZIONE";+
2022;I;129;IND. AREA DIRETTIVA E POSIZIONI PARTICOLARI;+
2022;I;224;"INDENNITA' MENSILE";+
2022;S;130;"INDENNITA' DI AMMINISTRAZIONE";+
2022;I;400;"INDENNITA' FISSE";+
2022;S;400;COMPENSI ACCESSORI;+
2022;I;144;"INDENNITA' DI ENTE";+
2022;S;670;PROGETTI SPECIALI ( ART.18 L.88/89 );+
2022;I;426;"INDENNITA' PROFESSIONALI";+
2022;S;616;"INDENNITA'  FUNZIONE POSIZIONI ORGANIZZATIVE";+
2022;I;507;RETRIBUZIONE DI POSIZIONE - QUOTA VARIABILE;+
2022;S;708;"INCENTIVI ALLA MOBILITA'";+
2022;I;110;"INDENNITA' DI AMMINISTRAZIONE";+
2022;S;603;"TRATTAM. ACCESS. ALL'ESTERO";+
2022;S;760;"INDENNITA' UFFICI DIRETTA COLLABORAZIONE MINISTRO";+
2022;I;518;IND. EXTRACONTR. NON FINANZ. CON FUA;+
2022;S;201;"INDENNITA' DI TURNO";+
2022;I;402;IND.SECONDA LINGUA;+
2022;I;106;"INDENNITA' DI ISTITUTO";+
2022;I;436;"INDENNITA' FORESTALE";+
2022;I;514;IND. PENSIONABILE;+
2022;S;806;"INDENNITA' DI COORDINAMENTO";+
2022;S;204;"PRONTA DISPONIBILITA'";+
2022;S;772;"INDENNITA' D'INCARICO";+
2022;I;533;"INDENNITA' PROFESSIONALE SPECIFICA";+
2022;I;438;"INDENNITA' TUTELA DEL MALATO E PROMOZIONE DELLA SALUTE";+
2022;S;212;ALTRI COMPENSI PER PARTICOLARI CONDIZIONI DI LAVORO;+
2022;S;203;ALTRI COMPENSI ACCESSORI PERSONALE UNIVERSITARIO;+
2022;S;199;"INDENNITA' PER L'OPERATIVITA' NEI SERVIZI DI PRONTO SOCCORSO";+
2022;I;202;IND DIREZ. STRUTT. COMP.;+
2022;I;421;"INDENNITA' DE MARIA";+
