ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;PERSONALE_TEMPO_DETERMINATO_UOMINI;PERSONALE_TEMPO_DETERMINATO_DONNE;FORMAZIONE_LAVORO_UOMINI;FORMAZIONE_LAVORO_DONNE;INTERINALE_UOMINI;INTERINALE_DONNE;LAVORO_SOCIALMENTE_UTILE_UOMINI;LAVORO_SOCIALMENTE_UTILE_DONNE
C1220;RALN;ND;CC;0;0,63;0;0;0;0;0;0
N8922;RALN;ND;PC;36;7;0;0;0;0;0;0
CM9074;RALN;ND;CD;5;0,94;0;0;0;0;0;0
C2954;RALN;ND;CC;0;1;0;0;0;0;0;0
C7970;RALN;ND;CD;1;0;0;0;0;0;0;0
C2518;RALN;ND;CC;0;0,19;0;0;0;0;0;0
C2518;RALN;ND;CD;0,23;0;0;0;0;0;0;0
P9124;RALN;ND;CB;0,4;0;0;0;0;0;0;0
P9124;RALN;ND;CD;0;0;0,92;2;0;0;0;0
C1424;RALN;ND;CC;0,5;0;0;0;0;0;0;0
C7982;RALN;ND;CC;0;0,38;0;0;0;0;0;0
C2819;RALN;ND;CB;1;0;0;0;2;0;0;0
C7592;RALN;ND;CD;1;1;0;0;0;0;0;0
C3397;RALN;ND;CD;0;1;0;0;0;0;0;0
C1247;RALN;ND;CB;0;0;0;0;2;1;0;0
C1401;RALN;ND;CD;0,13;0;0;0;0;0;0;0
C3006;RALN;ND;PC;0;0;0;0;0;0;0,56;0
C3006;RALN;ND;CC;0;0,58;0;0,21;0;0;0;0
UC12397;RALN;ND;CC;0;0,67;0;0;0;0;0;0
P9076;RALN;ND;CD;1,5;0;0;0;0;0;0;0
C7562;RALN;ND;CC;2,5;10,26;0;0;0;0;0;0
C7562;RALN;ND;CB;0,5;5,5;0;0;0;0;0;0
C774;RALN;ND;CD;0;0,51;0;0;0;0;0;0
C774;RALN;ND;CC;0;0,4;0;0;0;0;0;0
C3241;RALN;ND;CC;0,29;0;0;0;0,93;0;0;0
C3241;RALN;ND;CD;0,08;0;0;0;0;0;0;0
C3241;RALN;ND;CB;0;0;0;0;0;0,5;0;0
IP10999;PRTN;NF;CC;2,11;5,49;0;0;0;0;0;0
IP10999;PRTN;NF;CB;0,97;6,83;0;0;0;0;0;0
IP10999;PRTN;NF;CA;0;10,72;0;0;0;0;0;0
C2031;RALN;ND;CB;1;0;0;0;0;0;0;0
C6482;RALN;ND;CB;0,77;0;0;0;0;0;0;0
C6482;RALN;ND;CD;0;0,1;0;0;0;0;0;0
C6482;RALN;ND;CC;0;0,29;0,52;0;0;0;0;0
